source, target
“Quy tắc: + Z = X | Thay thế: X bằng “” ngựa “”, Z bằng “” việt quất “"”, + việt quất = ngựa
“Quy tắc: Z * + Z | Thay thế: Z bằng “” chim cánh cụt việt quất “"”, chim cánh cụt việt quất * + chim cánh cụt việt quất
“Quy tắc: X Y + Y | Thay thế: X bằng “" trâu "”, Y bằng “" chuối sư tử "”, trâu sư tử chuối + + sư tử chuối
“Quy tắc: Y + * - Y | Thay thế: Y bằng “” ngựa chim cánh cụt “"”, ngựa chim cánh cụt + * - ngựa chim cánh cụt
“Quy tắc: X X = - Y | Thay thế: X bằng “” chim cánh cụt chuối “”, Y bằng “” đại bàng rắn hổ mang “"”, chim cánh cụt chuối chuối chim cánh cụt = - đại bàng rắn hổ mang
“Quy tắc: Y Y = * Z | Thay thế: Y bằng “” rắn hổ mang “”, Z bằng “” sư tử đào “"”, rắn hổ mang = * sư tử đào
“Quy tắc: * Z = Y Y | Thay thế: Y bằng “" cá mập "”, Z bằng “" cá mập trâu "”, * cá mập trâu = cá mập mập
“Quy tắc: * * X X | Thay thế: X bằng “” cá voi việt quất “"”, * * * cá voi việt quất
“Quy tắc: Y Z * - X | Thay thế: X bằng “” đào “”, Y bằng “” con dấu đại bàng “”, Z bằng “” nho nho “"”, hải cẩu nho đại bàng * - đào
“Quy tắc: + Y X Y - | Thay thế: X bằng “” nho chuột “”, Y bằng “” sư tử rắn hổ mang “"”, + rắn hổ mang sư tử rắn hổ mang nho sư tử -
“Quy tắc: = Y Y + | Thay thế: Y bằng “” cá voi chuối “"”, = cá voi chuối cá voi chuối +
“Quy tắc: + Y + Y - | Thay thế: Y bằng “" con dấu trâu "”, + con dấu trâu + con dấu trâu -
“Quy tắc: * - - Y Y X | Thay thế: X bằng “” đại bàng lê “”, Y bằng “” cá voi việt quất “"”, * - - cá voi việt quất cá voi việt quất đại bàng lê
“Quy tắc: X = + Y Z = | Thay thế: X bằng “" dâu tây "”, Y bằng “" ngựa đại bàng "”, Z bằng “" rắn hổ mang "”, dâu = + rắn hổ mang ngựa đại bàng =
“Quy tắc: - Y Z = X | Thay thế: X bằng “” đào kiwi “”, Y bằng “” chuột cá voi “”, Z bằng “” đại bàng “”, - đại bàng chuột voi = đào kiwi
“Quy tắc: X * - X - | Thay thế: X bằng “” blackberry “"”, blackberry * - blackberry -
“Quy tắc: X Y - = X + | Thay thế: X bằng “” cò “”, Y bằng “” chuột cá voi “"”, chuột cá voi cò - = cò +
“Quy tắc: Y + * Y | Thay thế: Y bằng “” cá voi chuối “"”, cá voi chuối + * cá voi chuối
“Quy tắc: X - = X | Thay thế: X bằng “” dưa hấu kiwi “"”, dưa hấu kiwi - = dưa hấu kiwi
“Quy tắc: + - Z Z = Z | Thay thế: Z bằng “” việt quất “"”, + - việt quất việt quất = việt quất
“Quy tắc: Z Z * + * | Thay thế: Z bằng “” chuột chuột “"”, chuột chuột nhật* + *
“Quy tắc: - = X X = | Thay thế: X bằng “" trâu táo "”, - = táo trâu táo trâu =
“Quy tắc: + Z Y = + Y | Thay thế: Y bằng “” dưa hấu “”, Z bằng “” cá mập dưa hấu “"”, + dưa hấu cá mập dưa hấu = + dưa hấu
“Quy tắc: = Y Y + Z = | Thay thế: Y bằng “” việt quất “”, Z bằng “” cò ngựa “"”, = việt quất việt quất + cò ngựa =
“Quy tắc: = Y X - | Thay thế: X bằng “" trâu ngựa vằn "”, Y bằng “" chuối nho "”, = nho chuối ngựa vằn trâu -
“Quy tắc: X - - Y * | Thay thế: X bằng “" rắn hổ mang trâu "”, Y bằng “" cá voi "”, rắn hổ mang trâu - - cá voi *
“Quy tắc: + Y Z Z = | Thay thế: Y bằng “” dưa hấu “”, Z bằng “” chim cánh cụt “"”, + chim cánh cụt dưa hấu =
“Quy tắc: - Y Y * | Thay thế: Y bằng “” việt quất “"”, - việt quất việt quất *
“Quy tắc: Z + Y * = | Thay thế: Y bằng “” nho “”, Z bằng “” táo cá mập “"”, táo cá mập + nho * =
“Quy tắc: Z + X Z = | Thay thế: X bằng “" đại bàng "”, Z bằng “" con dấu đại bàng "”, con dấu đại bàng + con dấu đại bàng =
“Quy tắc: + Z Z Y = | Thay thế: Y bằng “” việt quất “”, Z bằng “” con dấu “"”, + con dấu con dấu việt quất =
“Quy tắc: - Z + Z Z + | Thay thế: Z bằng “” chim cánh cụt “"”, - chim cánh cụt + chim cánh cụt +
“Quy tắc: - X Y * | Thay thế: X bằng “” chuối “”, Y bằng “” dâu đào “"”, - chuối đào dâu *
“Quy tắc: + Y Z + * X | Thay thế: X bằng “” cò “”, Y bằng “” cá voi “”, Z bằng “” táo “"”, + cá voi táo + * cò
“Quy tắc: Z + Y + | Thay thế: Y bằng “” rắn hổ mang “”, Z bằng “” lê “"”, lê + rắn hổ mang +
“Quy tắc: X - Z X * | Thay thế: X bằng “” kiwi “”, Z bằng “” blackberry “”, kiwi - blackberry kiwi *
“Quy tắc: Y X X = - | Thay thế: X bằng “” lê đào “”, Y bằng “” kiwi “"”, kiwi lê đào đào đào = -
“Quy tắc: X * Z = | Thay thế: X bằng “” cò blackberry “”, Z bằng “” lê “"”, cò blackberry * lê =
“Quy tắc: X * * X * * | Thay thế: X bằng “" trâu kiwi "”, trâu kiwi * * trâu kiwi *
“Quy tắc: Z - Y = Y * | Thay thế: Y bằng “” đào “”, Z bằng “” cò lê “"”, cò lê - đào = đào *
“Quy tắc: X * Z Y * - | Thay thế: X bằng “” ngựa vằn “”, Y bằng “” chuột “”, Z bằng “” chuột cá mập “"”, ngựa vằn * chuột chuột cá mập * -
“Quy tắc: * = Y Y | Thay thế: Y bằng “" trâu "”, * = trâu
“Quy tắc: - X - Y Y * | Thay thế: X bằng “” cò “”, Y bằng “” đại bàng blackberry “"”, - cò - đại bàng blackberry blackberry eagle *
“Quy tắc: = X Z - | Thay thế: X bằng “” dâu tây nho “”, Z bằng “” cá mập lê “"”, = cá mập lê dâu tây nho -
“Quy tắc: Y * X * = | Thay thế: X bằng “” chuối blackberry “”, Y bằng “” chuột “"”, chuột * chuối blackberry * =
“Quy tắc: = X + = Z Y | Thay thế: X bằng “” táo “”, Y bằng “” dâu rắn hổ mang “”, Z bằng “” ngựa dâu đen “"”, = táo + = dâu đen rắn hổ mang
“Quy tắc: Z Z + X + | Thay thế: X bằng “” cá voi ngựa vằn “”, Z bằng “” táo chuối “"”, chuối táo chuối táo + cá voi ngựa vằn +
“Quy tắc: = X Z * - Y | Thay thế: X bằng “” con dấu dâu tây “”, Y bằng “” rắn hổ mang “”, Z bằng “” chuột chuối “"”, = con dấu dâu tây chuột * - rắn hổ mang
“Quy tắc: - Z - Z - | Thay thế: Z bằng “” cá voi “"”, - cá voi - cá voi -
“Quy tắc: Y X + * Y | Thay thế: X bằng “” lê “”, Y bằng “” đại bàng “"”, lê đại bàng + * đại bàng
“Quy tắc: X Y - * - Z | Thay thế: X bằng “” chuối “”, Y bằng “” cá mập “”, Z bằng “” việt quất “”, cá mập chuối - * - việt quất
“Quy tắc: - X = Y | Thay thế: X bằng “” chuối lê “”, Y bằng “” blackberry “"”, - chuối lê = blackberry
“Quy tắc: X - Z - Z | Thay thế: X bằng “” sư tử “”, Z bằng “” chim cánh cụt rắn hổ mang “"”, sư tử - chim cánh cụt rắn hổ mang - chim cánh cụt rắn hổ mang
“Quy tắc: * Z + Z | Thay thế: Z bằng “” rắn hổ mang “"”, * rắn hổ mang + rắn hổ mang
“Quy tắc: = X - + Y | Thay thế: X bằng “” dưa hấu “”, Y bằng “” nho chuối “"”, = dưa hấu - + chuối nho
“Quy tắc: - X X = * X | Thay thế: X bằng “” chuối ngựa vằn “"”, - chuối ngựa vằn chuối = * chuối ngựa vằn
“Quy tắc: Z = X * Z * | Thay thế: X bằng “” sư tử đào “”, Z bằng “” ngựa “"”, ngựa = sư tử đào * ngựa *
“Quy tắc: Y = Z + X * | Thay thế: X bằng “” chuối “”, Y bằng “” dưa hấu “”, Z bằng “” đại bàng blackberry “"”, dưa hấu = đại bàng blackberry + chuối *
“Quy tắc: + Z X - = | Thay thế: X bằng “” ngựa vằn việt quất “”, Z bằng “” con dấu “"”, + con dấu ngựa vằn việt quất - =
“Quy tắc: * - Z X | Thay thế: X bằng “” rắn hổ mang đào “”, Z bằng “” con dấu “"”, * - con dấu rắn hổ mang đào
“Quy tắc: X - X + Y | Thay thế: X bằng “” rắn hổ mang kiwi “”, Y bằng “” cá mập blackberry “"”, rắn hổ mang kiwi - rắn hổ mang kiwi + cá mập blackberry
“Quy tắc: + = Z X | Thay thế: X bằng “” đào “”, Z bằng “” ngựa “"”, + = ngựa đào
“Quy tắc: Y Z = = | Thay thế: Y bằng “” blackberry “”, Z bằng “” chuối “”, blackberry banana = =
“Quy tắc: Y + * Z * | Thay thế: Y bằng “" hải cẩu trâu "”, Z bằng “" trâu kiwi "”, hải cẩu trâu + * trâu kiwi *
“Quy tắc: = X Y + | Thay thế: X bằng “" trâu "”, Y bằng “" chim cánh cụt dâu "”, = dâu tây chim cánh cụt trâu +
“Quy tắc: * + Z Y Y | Thay thế: Y bằng “” blackberry “”, Z bằng “” táo ngựa “"”, * + táo ngựa blackberry
“Quy tắc: - X Y + - Y | Thay thế: X bằng “” blackberry “”, Y bằng “” nho việt quất “"”, - nho việt quất đen + - nho việt quất
“Quy tắc: - Y - X = | Thay thế: X bằng “” dưa hấu “”, Y bằng “” dâu tây “"”, - dâu tây - dưa hấu =
“Quy tắc: = Y Z X * | Thay thế: X bằng “” ngựa đại bàng “”, Y bằng “” cá mập “”, Z bằng “” đại bàng “"”, = ngựa đại bàng cá mập *
“Quy tắc: + - X X X * | Thay thế: X bằng “” kiwi kiwi “"”, + - kiwi kiwi kiwi kiwi kiwi kiwi kiwi kiwi
“Quy tắc: Y Z - * Z | Thay thế: Y bằng “” dâu tây kiwi “”, Z bằng “” sư tử chuối “"”, kiwi dâu chuối sư tử - * chuối sư tử
“Quy tắc: - + Y X + | Thay thế: X bằng “” cò “”, Y bằng “” chuột kiwi “"”, - + cò chuột kiwi +
“Quy tắc: Y Z * X + | Thay thế: X bằng “” rắn hổ mang “”, Y bằng “” blackberry “”, Z bằng “” chuột “”, chuột blackberry * rắn hổ mang +
“Quy tắc: - Z + Y Z | Thay thế: Y bằng “” việt quất “”, Z bằng “” nho ngựa “"”, - nho ngựa+nho ngựa việt quất
“Quy tắc: + Y = Y = | Thay thế: Y bằng “” kiwi “"”, + kiwi = kiwi =
“Quy tắc: Z = X X | Thay thế: X bằng “” cá voi “”, Z bằng “” cá voi “"”, cá voi = = cá voi
“Quy tắc: X Z + * | Thay thế: X bằng “” cá voi chuột “”, Z bằng “” đại bàng “"”, đại bàng cá voi chuột + *
“Quy tắc: + Z * X X | Thay thế: X bằng “” chuối táo “”, Z bằng “” ngựa vằn “"”, + ngựa vằn * chuối táo chuối táo
“Quy tắc: - - = X Y Y | Thay thế: X bằng “” sư tử “”, Y bằng “” blackberry blackberry “"”, - - = sư tử blackberry blackberry blackberry blackberry
“Quy tắc: - Z + Z Z + | Thay thế: Z bằng “” con dấu “"”, - con dấu + con dấu +
“Quy tắc: - X - X Y | Thay thế: X bằng “” chuối sư tử “”, Y bằng “” lê nho “"”, - chuối sư tử - sư tử chuối nho lê
“Quy tắc: - Z Z X = | Thay thế: X bằng “” kiwi “”, Z bằng “” con dấu táo “”, - con dấu táo kiwi =
“Quy tắc: * Z Z Y + = | Thay thế: Y bằng “” chuối “”, Z bằng “” lê nho “"”, * lê nho lê chuối + =
“Quy tắc: + - X Z = Y | Thay thế: X bằng “” con dấu sư tử “”, Y bằng “” việt quất “”, Z bằng “” ngựa vằn “"”, + - hải cẩu sư tử ngựa vằn = việt quất
“Quy tắc: X X - Z = | Thay thế: X bằng “” đào dâu đen “”, Z bằng “” cá mập “"”, đào dâu đen đào - cá mập =
“Quy tắc: X Z * = + | Thay thế: X bằng “" rắn hổ mang "”, Z bằng “" con dấu cò "”, con dấu rắn hổ mang cò * = +
“Quy tắc: X - + X X * | Thay thế: X bằng “" con dấu sư tử "”, con dấu sư tử - + con dấu sư tử *
“Quy tắc: Z + X * | Thay thế: X bằng “" cò "”, Z bằng “" rắn hổ mang cá mập "”, rắn hổ mang cá mập + cò *
“Quy tắc: = Z X = Z | Thay thế: X bằng “” chuối kiwi “”, Z bằng “” táo chuột “"”, = chuột táo chuối kiwi = táo chuột
“Quy tắc: Y = X - * Z | Thay thế: X bằng “” chim cánh cụt dưa hấu “”, Y bằng “” cá mập “”, Z bằng “” hải cẩu chuối “”, cá mập = chim cánh cụt dưa hấu - * hải cẩu chuối
“Quy tắc: + Y * Y | Thay thế: Y bằng “” việt quất “"”, + việt quất * việt quất
“Quy tắc: Y - Y = | Thay thế: Y bằng “” kiwi táo “"”, kiwi táo - kiwi táo =
“Quy tắc: + = Y Z | Thay thế: Y bằng “” sư tử “”, Z bằng “” cá mập “"”, + = cá mập sư tử
“Quy tắc: - Y Z + | Thay thế: Y bằng “” chuối “”, Z bằng “” chuối “"”, - chuối chuối +
“Quy tắc: * X = = X Z | Thay thế: X bằng “" cò dâu "”, Z bằng “" ngựa vằn trâu ""”, * cò dâu = = cò dâu trâu ngựa vằn
“Quy tắc: - + Z Y | Thay thế: Y bằng “" trâu đào "”, Z bằng “" đại bàng "”, - + đại bàng trâu đào
“Quy tắc: X Y * Z + | Thay thế: X bằng “” con dấu “”, Y bằng “” cá voi cò “”, Z bằng “” đại bàng blackberry “"”, cá voi cò hải cẩu * đại bàng blackberry +
“Quy tắc: Z X * - * | Thay thế: X bằng “” cá mập “”, Z bằng “” kiwi “"”, cá mập kiwi * - *
“Quy tắc: * Y Y - Y | Thay thế: Y bằng “” cá mập ngựa “"”, * cá mập ngựa cá mập ngựa - cá mập ngựa
“Quy tắc: Z Y X * * | Thay thế: X bằng “" đào "”, Y bằng “" trâu ngựa "”, Z bằng “" việt quất "”, việt quất ngựa trâu đào * * *
“Quy tắc: Z = X = Y | Thay thế: X bằng “” việt quất “”, Y bằng “” ngựa vằn kiwi “”, Z bằng “” nho lê “”, nho lê = việt quất = ngựa vằn kiwi
“Quy tắc: + Y * * X | Thay thế: X bằng “” chuột đào “”, Y bằng “” nho đào “"”, + nho đào * * chuột đào
“Quy tắc: * Y * Y X * | Thay thế: X bằng “” trâu cá voi “”, Y bằng “” việt quất “"”, * việt quất * trâu cá voi việt quất *
“Quy tắc: - - Y = Z | Thay thế: Y bằng “” chim cánh cụt “”, Z bằng “” ngựa vằn “”, - - chim cánh cụt = ngựa vằn
“Quy tắc: Z Y - + | Thay thế: Y bằng “" trâu trâu "”, Z bằng “" đào việt quất "”, đào việt quất trâu trâu - +
“Quy tắc: X * Y + = Z | Thay thế: X bằng “" cá voi ngựa "”, Y bằng “" trâu "”, Z bằng “" trâu "”, cá voi ngựa * trâu + = trâu
“Quy tắc: Y = X - | Thay thế: X bằng “” dưa hấu “”, Y bằng “” đại bàng cá voi “"”, đại bàng cá voi = dưa hấu -
“Quy tắc: - X Z + | Thay thế: X bằng “” cò blackberry “”, Z bằng “” con dấu “"”, - con dấu cò blackberry +
“Quy tắc: - - Z X Z | Thay thế: X bằng “” đại bàng “”, Z bằng “” cá voi chuột “"”, - - cá voi chuột đại bàng
“Quy tắc: * Z + X Z * | Thay thế: X bằng “” đại bàng cá voi “”, Z bằng “” con cò hải cẩu “"”, * cò hải cẩu + cá voi đại bàng hải cẩu cò *
“Quy tắc: - Y * - Z X | Thay thế: X bằng “” nho “”, Y bằng “” cá voi sư tử “”, Z bằng “” cá voi cá mập “"”, - cá voi sư tử* - nho cá mập
“Quy tắc: X X = Y + | Thay thế: X bằng “” cá mập “”, Y bằng “” lê sư tử “"”, cá mập mập = lê sư tử +
“Quy tắc: + Y + - Z | Thay thế: Y bằng “” nho “”, Z bằng “” ngựa “"”, + nho + - ngựa
“Quy tắc: Z Y X = - + | Thay thế: X bằng “" ngựa sư tử "”, Y bằng “" chim cánh cụt "”, Z bằng “" trâu chuối "”, chuối trâu chim cánh cụt sư tử ngựa = - +
“Quy tắc: Y Y - X + | Thay thế: X bằng “” chuột “”, Y bằng “” rắn hổ mang “"”, rắn hổ mang - chuột +
“Quy tắc: Y * + X + | Thay thế: X bằng “” táo “”, Y bằng “” cá mập “"”, cá mập * + táo +
“Quy tắc: * * Z X Z | Thay thế: X bằng “” kiwi “”, Z bằng “” nho cá voi “"”, * * nho cá voi kiwi
“Quy tắc: = = Z Y * Y | Thay thế: Y bằng “” kiwi “”, Z bằng “” nho chuối “"”, = = chuối nho kiwi * kiwi
“Quy tắc: Y X = = | Thay thế: X bằng “” con dấu “”, Y bằng “” đại bàng “"”, con dấu đại bàng = =
“Quy tắc: Y = Z Z - + | Thay thế: Y bằng “” dâu đen “”, Z bằng “” ngựa “”, dâu đen = ngựa - +
“Quy tắc: Z X = + * | Thay thế: X bằng “” cá mập “”, Z bằng “” ngựa rắn hổ mang “"”, cá mập ngựa rắn hổ mang = + *
“Quy tắc: Y + Z - Y - | Thay thế: Y bằng “” rắn hổ mang dâu “”, Z bằng “” chuột “"”, rắn hổ mang dâu tây + chuột - rắn hổ mang dâu tây -
“Quy tắc: X * - Y * | Thay thế: X bằng “” ngựa đại bàng “”, Y bằng “” con dấu sư tử “"”, ngựa đại bàng * - con dấu sư tử*
“Quy tắc: X Y + - Z | Thay thế: X bằng “” cá voi chuối “”, Y bằng “” dâu tây kiwi “”, Z bằng “" trâu ngựa "”, cá voi chuối kiwi dâu tây + - trâu ngựa
“Quy tắc: = X + + X | Thay thế: X bằng “" trâu "”, = trâu + + trâu
“Quy tắc: X Z = Z = | Thay thế: X bằng “" đại bàng "”, Z bằng “" trâu "”, trâu đại bàng = trâu =
“Quy tắc: * Z + - X | Thay thế: X bằng “” rắn hổ mang “”, Z bằng “” chim cánh cụt “"”, * chim cánh cụt + - rắn hổ mang
“Quy tắc: X X + = | Thay thế: X bằng “” quả táo cá voi “"”, táo cá voi táo cá voi + =
“Quy tắc: - Z + - Y | Thay thế: Y bằng “” ngựa “”, Z bằng “” rắn hổ mang “"”, - rắn hổ mang + - ngựa
“Quy tắc: X * - + X | Thay thế: X bằng “” sư tử “"”, sư tử * - + sư tử
“Quy tắc: X X = + | Thay thế: X bằng “” đào “"”, đào đào = +
“Quy tắc: - + + X Y | Thay thế: X bằng “” cá mập blackberry “”, Y bởi “” sư tử chim cánh cụt “"”, - + sư tử chim cánh cụt blackberry
“Quy tắc: Y = X X - | Thay thế: X bằng “” ngựa vằn “”, Y bằng “” dưa hấu blackberry “"”, dưa hấu blackberry = ngựa vằn -
“Quy tắc: + X X - | Thay thế: X bằng “” dưa hấu cò “"”, + cò dưa hấu cò dưa hấu -
“Quy tắc: Z + = = Z Y | Thay thế: Y bằng “” dâu tây “”, Z bằng “” rắn hổ mang ngựa “"”, rắn hổ mang ngựa + = = = rắn hổ mang ngựa dâu
“Quy tắc: Z - Z Z + | Thay thế: Z bằng “” kiwi blackberry “"”, kiwi blackberry - kiwi blackberry kiwi blackberry +
“Quy tắc: - X * Y - Z | Thay thế: X bằng “" chuột ngựa “”, Y bởi “" trâu kiwi "”, Z bằng “" ngựa "”, - chuột ngựa* trâu kiwi - ngựa
“Quy tắc: - Z X = Z | Thay thế: X bằng “” sư tử “”, Z bằng “” ngựa “”, - sư tử ngựa = ngựa
“Quy tắc: * - X * Y | Thay thế: X bằng “" cá voi dâu “”, Y bằng “" trâu ngựa "”, * - cá voi dâu * trâu ngựa
“Quy tắc: X Z Y = + | Thay thế: X bằng “” kiwi dâu “”, Y bằng “” ngựa vằn “”, Z bằng “” chim cánh cụt đào “"”, dâu tây kiwi chim cánh cụt ngựa vằn = +
“Quy tắc: Y Y + * Y | Thay thế: Y bằng “” nho “"”, nho +* nho
“Quy tắc: X * Z Z - - | Thay thế: X bằng “” lê đại bàng “”, Z bằng “” đại bàng “”, lê đại bàng * đại bàng đại bàng - -
“Quy tắc: Y - + + X | Thay thế: X bằng “” quả táo cá voi “”, Y bằng “” con dấu “"”, con dấu dấu - + cá voi táo
“Quy tắc: X Y - = | Thay thế: X bằng “” chuối “”, Y bằng “” lê “”, chuối lê - =
“Quy tắc: - X - X - | Thay thế: X bằng “” dâu dưa hấu “"”, - dâu dưa hấu - dâu dưa hấu -
“Quy tắc: + + + Y X | Thay thế: X bằng “” ngựa vằn chuối “”, Y bằng “” hải cẩu lê “"”, + + + lê hải cẩu chuối ngựa vằn
“Quy tắc: X Y * = | Thay thế: X bằng “” con dấu “”, Y bằng “” con dấu blackberry “"”, con dấu blackberry đóng dấu * =
“Quy tắc: = Y Z + Z | Thay thế: Y bằng “” rắn hổ mang cá mập “”, Z bằng “” đào “"”, = cá mập rắn hổ mang đào + đào
“Quy tắc: * Y = X Y = | Thay thế: X bằng “” đại bàng đại bàng “”, Y bằng “” kiwi “"”, * kiwi = đại bàng kiwi =
“Quy tắc: X + Y - | Thay thế: X bằng “” rắn hổ mang “”, Y bằng “” đại bàng “"”, rắn hổ mang + đại bàng -
“Quy tắc: X * Z * = | Thay thế: X bằng “” táo đào “”, Z bằng “” đại bàng “"”, đào táo * đại bàng * =
“Quy tắc: - X - + Z X | Thay thế: X bằng “” ngựa vằn “”, Z bởi “” chim cánh cụt blackberry “"”, - ngựa vằn - + chim cánh cụt blackberry zebra
“Quy tắc: Z Y - - Y - | Thay thế: Y bằng “” việt quất ngựa vằn “”, Z bằng “” chuối kiwi “”, chuối kiwi ngựa vằn việt quất - - việt quất ngựa vằn -
“Quy tắc: * Y * Y - X | Thay thế: X bằng “” kiwi việt quất “”, Y bằng “” kiwi “"”, * kiwi * kiwi - kiwi việt quất
“Quy tắc: X = - - X | Thay thế: X bằng “” sư tử “"”, sư tử = - - sư tử
“Quy tắc: - X * Z Y = | Thay thế: X bằng “” con dấu chim cánh cụt “”, Y bằng “” dưa hấu “”, Z bằng “” rắn hổ mang “"”, - hải cẩu chim cánh cụt * rắn hổ mang dưa hấu =
“Quy tắc: X = * + Y | Thay thế: X bằng “” hải cẩu cá mập “”, Y bằng “” con dấu “"”, con dấu cá mập = * + con dấu
“Quy tắc: + Y = Y + | Thay thế: Y bằng “” cò “"”, + cò = cò +
“Quy tắc: Z Y * - Y | Thay thế: Y bằng “” kiwi lê “”, Z bằng “” cò cá voi “"”, cò cá voi kiwi lê * - lê kiwi
“Quy tắc: + - X Y | Thay thế: X bằng “” ngựa “”, Y bằng “” cò việt quất “"”, + - cò ngựa việt quất
“Quy tắc: Y Z = = Z | Thay thế: Y bằng “” con dấu “”, Z bằng “” con dấu chuột “”, con dấu chuột con dấu = = con dấu chuột
“Quy tắc: Y = * Z | Thay thế: Y bằng “” rắn hổ mang việt quất “”, Z bằng “” táo dâu đen “”, rắn hổ mang việt quất = * táo dâu đen
“Quy tắc: - X X + - | Thay thế: X bằng “” cá voi ngựa “"”, - cá voi ngựa cá voi + -
“Quy tắc: * Z - Y X | Thay thế: X bằng “” chuột “”, Y bằng “” kiwi “”, Z bằng “” đào “"”, * đào - chuột kiwi
“Quy tắc: + Y Y = - Y | Thay thế: Y bằng “” lê blackberry “"”, + lê dâu đen lê = - lê blackberry
“Quy tắc: Y + X - | Thay thế: X bằng “” cá voi “”, Y bằng “” chuối blackberry “"”, chuối blackberry + cá voi -
“Quy tắc: - = Y - Z | Thay thế: Y bằng “" đại bàng "”, Z bằng “" trâu "”, - = đại bàng - trâu
“Quy tắc: Z = + X | Thay thế: X bằng “” cá mập “”, Z bằng “” chuột “"”, chuột = + cá mập
“Quy tắc: Z * Y * X * * | Thay thế: X bằng “” nho dâu “”, Y bằng “” ngựa vằn chim cánh cụt “”, Z bằng “” hải cẩu lê “”, hải cẩu lê * ngựa vằn chim cánh cụt * nho dâu tây *
“Quy tắc: = X Z - Y + | Thay thế: X bằng “” chuột kiwi “”, Y bằng “” dâu cá mập “”, Z bằng “” chuột “”, = chuột kiwi - dâu cá mập +
“Quy tắc: Y X + X * | Thay thế: X bằng “” con dấu “”, Y bằng “” chuối kiwi “"”, con dấu chuối kiwi + con dấu *
“Quy tắc: X Y Z * = = | Thay thế: X bằng “" lê "”, Y bằng “" rắn hổ mang "”, Z bằng “" đại bàng "”, rắn hổ mang lê đại bàng * = =
“Quy tắc: + X - Z + X | Thay thế: X bằng “” lê táo “”, Z bằng “” ngựa dâu đen “"”, + lê táo - ngựa dâu đen + lê táo
“Quy tắc: X - Z X * + | Thay thế: X bằng “” nho “”, Z bằng “” chuột cá voi “"”, nho - nho chuột voi * +
“Quy tắc: - Z Z Z + - | Thay thế: Z bằng “” kiwi “"”, - kiwi kiwi + -
“Quy tắc: Z - * X | Thay thế: X bằng “” cá voi “”, Z bằng “” lê dâu đen “"”, lê dâu đen - * cá voi
“Quy tắc: - = Y - Z | Thay thế: Y bằng “" trâu "”, Z bằng “" táo "”, - = trâu - táo
“Quy tắc: X Y * Z = | Thay thế: X bằng “” ngựa vằn lê “”, Y bằng “” dâu đen việt quất “”, Z bằng “” dưa hấu đào “”, lê ngựa vằn việt quất dâu đen * dưa hấu đào =
“Quy tắc: Y + * = Y Y | Thay thế: Y bằng “” đào sư tử “"”, đào sư tử + * = sư tử đào sư tử đào
“Quy tắc: - X * Z Z | Thay thế: X bằng “” chim cánh cụt chuột “”, Z bằng “” chim cánh cụt nho “"”, - chim cánh cụt nhỏ* chim cánh cụt nho
“Quy tắc: * = - X X X | Thay thế: X bằng “” chuối “"”, * = - chuối chuối chuối
“Quy tắc: * X = X | Thay thế: X bằng “" trâu dưa hấu "”, * trâu dưa hấu = trâu dưa hấu
“Quy tắc: * X Z * + | Thay thế: X bằng “” chuối rắn hổ mang “”, Z bằng “” cá voi “"”, * cá voi chuối rắn hổ mang * +
“Quy tắc: + X Z * | Thay thế: X bằng “” apple “”, Z bằng “” con dấu blackberry “"”, + con dấu táo blackberry *
“Quy tắc: + X Z X * - | Thay thế: X bằng “” đào “”, Z bằng “” rắn hổ mang dưa hấu “"”, + đào dưa hấu rắn hổ mang đào * -
“Quy tắc: * Y * * Z X | Thay thế: X bằng “” ngựa “”, Y bằng “” đào dâu đen “”, Z bằng “” đại bàng “”, * đào dâu đen * * ngựa đại bàng
“Quy tắc: Z - + Z - | Thay thế: Z bằng “” dưa hấu “"”, dưa hấu - + dưa hấu -
“Quy tắc: Y = Y - Z | Thay thế: Y bằng “” kiwi đại bàng “”, Z bằng “” việt quất “”, kiwi đại bàng = kiwi đại bàng - việt quất
“Quy tắc: X * + = Y | Thay thế: X bằng “” chuối nho “”, Y bằng “” dưa hấu nho “"”, chuối nho * + = dưa hấu nho
“Quy tắc: - X = X | Thay thế: X bằng “” ngựa “"”, - ngựa = ngựa
“Quy tắc: Y X X + + + | Thay thế: X bằng “” kiwi “”, Y bằng “” kiwi nho “"”, kiwi kiwi nho + +
“Quy tắc: Y = + Z Z - | Thay thế: Y bằng “” dưa hấu nho “”, Z bằng “” lê blackberry “"”, dưa hấu nho = + lê lê dâu đen -
“Quy tắc: - + Z X | Thay thế: X bằng “” chim cánh cụt “”, Z bằng “” dâu tây “"”, - + chim cánh cụt dâu
“Quy tắc: + * Z Y Z | Thay thế: Y bằng “” ngựa “”, Z bằng “” cá mập lê “"”, + * cá mập lê cá mập lê
“Quy tắc: * Y - X + | Thay thế: X bằng “” chuột ngựa vằn “”, Y bằng “” cá mập ngựa “"”, * cá mập ngựa - chuột ngựa vằn +
“Quy tắc: Z - = * X | Thay thế: X bằng “” nho táo “”, Z bằng “” cò “"”, cò - = * nho táo
“Quy tắc: Z - X = - | Thay thế: X bằng “” ngựa vằn “”, Z bằng “” ngựa chuối “"”, ngựa chuối - ngựa vằn = -
“Quy tắc: * X = Y | Thay thế: X bằng “” nho ngựa “”, Y bằng “” kiwi “"”, * nho ngựa = kiwi
