source, target
Quy tắc: X = = Y = | X Y = = | Y X Y = = = | X = Y = | Kết quả: nho táo ngựa vằn nho = = =, Y X Y = = =
Quy tắc: * Z - | * - Z Z | - Z * | - * Z | Kết quả: * - sư tử sư tử, * - Z Z
Quy tắc: + Z Y - | Y Z + - | + Z - Y | + Z Y - | Kết quả: + ngựa vằn đào - ngựa, + Z - Y
Quy tắc: - X = Z = Z | - Z X = = | - = Z = X | - = X Z = | Kết quả: - lê táo = dâu tây, - X = Z = Z
Quy tắc: * + - Y | Y * - + | Y Y * - + | - Y * + | Kết quả: cò cá mập cò cá mập * - +, Y Y * - +
Quy tắc: Y * = - | * = - Y | = * Y - | * = Y Y - | Kết quả: * = táo táo -, * = Y Y -
Quy tắc: + + X Z | Z + + X | Z + X + X | X + Z + | Kết quả: dưa hấu + kiwi + kiwi, Z + X + X
Quy tắc: Z Y + - | Y + - Z | - Y + Z | - + Z Y | Kết quả: lê dưa hấu ngựa vằn + -, Z Y + -
Quy tắc: - X + Y | X Y X - + | + - Y X | + - Y X | Kết quả: nho dưa hấu nho - +, X Y X - +
Quy tắc: X + - Y | + Y X Y - | + Y - X | - X Y + | Kết quả: + rắn hổ mang cò nho rắn hổ mang -, + Y X Y -
Quy tắc: = X X - = | = - X | = X - = | - X = = | Kết quả: = chim cánh cụt - =, = X X - =
Quy tắc: = * Y Z - | * = Z - Y | * Z - Y = | Z = - * Y | Kết quả: * = ngựa vằn sư tử - rắn hổ mang kiwi, * = Z - Y
Quy tắc: Y Z - * | Y Z - * | Z - * Y | - * Z Y | Kết quả: rắn hổ mang sư tử việt quất cá mập - *, Y Z - *
Quy tắc: = Z Y = | Y Z = | = Y = Z | Z = Y = | Kết quả: cá voi việt quất đen đào =, Y Z = =
Quy tắc: Z + Z - + | + + - Z | + - + Z | + - + Z | Kết quả: đại bàng cá mập + đại bàng cá mập - +, Z + Z - +
Quy tắc: Y - = - Y | = - - Y | = Y - | Y - = | Kết quả: rắn hổ mang - = - rắn hổ mang, Y - = - Y
Quy tắc: = + Y | + Y = | = + Y | Y = Y + | Kết quả: đào = đào +, Y = Y +
Quy tắc: Z X Y + = | X Z Y + = | = X Z Y + | Z = + X Y | Kết quả: rắn hổ mang chuột đại bàng ngựa vằn + =, Z X Y + =
Quy tắc: Y = - * | Y * = - | = * Y - | = Y Y Y * - | Kết quả: = dưa hấu chim cánh cụt dưa hấu chim cánh cụt dưa hấu chim cánh cụt dưa hấu * -, = Y Y * -
Quy tắc: Z - * = X | = * - X Z | = * X Z - | = X * - Z | Kết quả: = cá voi dưa hấu * - sư tử kiwi, = X * - Z
Quy tắc: Y * X = | X = * Y | * X = Y | Y = X * | Kết quả: nho = kiwi chuột *, Y = X *
Quy tắc: Z * * X Y - | X * - * Z Y | * - X Y * Z | X - * Z * Y | Kết quả: cá mập cá mập * * rắn hổ mang ngựa vằn -, Z * * X Y -
Quy tắc: - + Y X - | X - Y + - | Y + X - - - | + - X - Y | Kết quả: chim cánh cụt đào + táo - -, Y + X - -
Quy tắc: * Z + Y = | * = Z + Y | = * Y + Z | = Y + Z * | Kết quả: = chuối + chim cánh cụt đại bàng *, = Y + Z *
Quy tắc: Z - X = | = Z X - | X Z - = | X Z = - Z | Kết quả: lê dưa hấu = - dưa hấu, X Z = - Z
Quy tắc: Z = * X | = Z X * | Z * X = | Z * = X | Kết quả: chim cánh cụt blackberry = * nho, Z = * X
Quy tắc: = Z Y X + | X Z = + Y | = Z Y + X | X = + Y Z | Kết quả: = táo ngựa blackberry + chim cánh cụt cá mập, = Z Y + X
Quy tắc: Y = * = Z | * = Y Z | Z = Y = * | = = Z Y * | Kết quả: chim cánh cụt = dưa hấu nho = *, Z = Y = *
Quy tắc: X * * Z - | X * Z * - | - * * X Z X | * * X - Z | Kết quả: - * * chuột chuối ngựa vằn chuột, - * X Z X
Quy tắc: * + X Z = | X * Z = + | * X + = Z | X Z * + = | Kết quả: * sư tử + = việt quất, * X + = Z
Quy tắc: X X * X = | * = X | X = * | * = X | Kết quả: cá voi việt quất cá voi việt quất * cá voi việt quất =, X X * X =
Quy tắc: Z X Z * * | * X Z * | Z * X * | Z X * * | Kết quả: dưa hấu hải cẩu dưa hấu hải cẩu * *, Z X Z * *
Quy tắc: Y * X - | - Y X * | * - Y X | * - Y X X | Kết quả: * - sư tử việt quất việt quất, * - Y X X
Quy tắc: + Z = X | = X + Z | = Z + X | Z + = X | Kết quả: + rắn hổ mang nho = lê, + Z = X
Quy tắc: Z + + X - | + + X Z - | X + Z + - | + + X Z - | Kết quả: dưa hấu kiwi + dưa hấu cò + -, X + Z + -
Quy tắc: + Y Y X - | + X Y - | Y X - + | + - Y X | Kết quả: + chuột blackberry blackberry rat dưa hấu chuối -, + Y Y X -
Quy tắc: + - Z Y | - Y Z + | - Z + | Y Z - + | Kết quả: ngựa vằn nho - +, Y Z - +
Quy tắc: = Y * * | = Y Y * * Y | = Y * * | = * Y * | Kết quả: = dâu tây * * dâu tây, = Y Y * * Y
Quy tắc: Y - Z + - | + - Z Y - | - Z Y - Y + | - Y + Z | Kết quả: - cò nho - nho +, - Z Y - Y +
Quy tắc: + Y X Y = + | Y + = X + | X + = Y | = + X + Y | Kết quả: + cò đào đào = +, + Y X Y = +
Quy tắc: Y - = | = - Y Y | - Y = | = - Y | Kết quả: = - ngựa vằn, = - Y Y
Quy tắc: * Y * Z X * | * * * Z Y X | * X Z * Y * | Z X * Y * * * | Kết quả: cá mập việt quất đen * cá voi * *, Z X * Y * * *
Quy tắc: * Y = | * = Y | Y * = | = Y Y * | Kết quả: = blackberry blackberry *, = Y Y *
Quy tắc: - X Z Y = | Z Y - = X | = Z - Y X | Z - = Y X | Kết quả: - nho trâu đen =, - X Z Y =
Quy tắc: - X = | X = - | X - = X | = X - | Kết quả: lê - = lê, X - = X
Quy tắc: + Z X * | * + Z X | * X Z + | Z * + X | Kết quả: * + dưa hấu đào, * + Z X
Quy tắc: * Z X Y - * | - * Z * X Y | * - * Y X Z | Y * Z - X * | Kết quả: * - * rắn hổ mang chuối đào dâu tây cá mập dưa hấu, * - * Y X Z
Quy tắc: - X Z X + = | X = - Z + | Z - X + = | = X Z - + | Kết quả: - chim cánh cụt cò đào blackberry chim cánh cụt cò + =, - X Z X + =
Quy tắc: * X * | X X * * | X * * | * X * | Kết quả: việt quất việt quất * *, X X * *
Quy tắc: X Y - Z - | X - - Z Y | Z X Y - - - | Z - Y - X | Kết quả: ngựa - cá voi đào - chuối, Z - Y - X
Quy tắc: * * Y X | * X Y * | Y X * * | * X * Y | Kết quả: * cò trâu chuột dâu *, * X Y *
Quy tắc: = X - Y | Y - X Y = | = X - Y | Y = X - | Kết quả: chuối sư tử - chuối sư tử cá voi =, Y - X Y =
Quy tắc: * Z X * * | X X * * Z * | * * * X Z | * Z * X * | Kết quả: chim cánh cụt chim cánh cụt * * nho nho*, X X * * Z *
Quy tắc: Z * X * | X Z * * | * * X Z | * Z * X | Kết quả: * * ngựa đào chuột, * * X Z
Quy tắc: * = = X | = X = * X X | = * = X | = * X = | Kết quả: = cò = * cò, = X = * X X
Quy tắc: - Z = Y * Y | = Z Y - * | - Y Z = * | Z = - * Y | Kết quả: - rắn hổ mang = rắn hổ mang * rắn hổ mang, - Z = Y * Y
Quy tắc: * X = Y | Y * X = | Y X = * | X * = Y | Kết quả: chuột dâu đen trâu = *, Y X = *
Quy tắc: + X - | + X - | - X + | + X - X | Kết quả: + blackberry - blackberry, + X - X
Quy tắc: Z + = X | + X = Z | Z + = X | = + Z X | Kết quả: = + cò việt quất kiwi, = + Z X
Quy tắc: - + Y | - + Y | - + Y | + Y - | Kết quả: + lê lê -, + Y Y -
Quy tắc: Z + X + Y | Z + + X Y | Y X + Z + | Y + + X Z | Kết quả: quả việt quất đào + ngựa +, Y X + Z +
Quy tắc: X - Y = - | = - - Y X | - X = - Y | - X Y = - | Kết quả: - lê trâu = - dưa hấu, - X = - Y
Quy tắc: = Z X Y + | Y X = Z + | X Y = + Z | Y X Z + = | Kết quả: cò dâu tây táo kiwi chuối lê + =, Y X Z + =
Quy tắc: Z + X - | Z - X + | - + X Z | X + - Z | Kết quả: - + dưa hấu chuối dưa hấu, - + X Z
Quy tắc: - = X Y - | Y - = X - | - X - = Y | = - X - Y | Kết quả: - = dâu tây chim cánh cụt kiwi -, - = X Y -
Quy tắc: = - Y = Y Z | = - Z Y = | Z = - Y = | - = Y Z = | Kết quả: = - cá voi chim cánh cụt = chim cánh cụt cá voi việt quất nho, = - Y = Y Z
Quy tắc: Y = - + | = - Y + | = - Y + Y | + - Y = | Kết quả: = - cá voi việt quất + cá voi việt quất, = - Y + Y
Quy tắc: Y Y * - | - * Y | - * Y | * Y - | Kết quả: chuột chuột * -, Y Y * -
Quy tắc: X + - Y Y * | * + Y - X | + * - X Y | X + - * Y | Kết quả: chim cánh cụt + - blackberry blackberry *, X + - Y *
Quy tắc: Y + + X + | Y + + X + | Y + + + X | + X + X Y | Kết quả: + + trâu chuối + chuối trâu dâu đen nho, + X + X Y
Quy tắc: + Z + Z | Z + + | Z + | + Z + | Kết quả: + cò rắn hổ mang + cò rắn hổ mang, + Z + Z
Quy tắc: + X - Y - | - Y + X - | X Y - - + | - + X - Y | Kết quả: cá voi hải cẩu cá voi - - +, X Y - - +
Quy tắc: + Z + Z * Z | + Z * + | Z * + | + * + Z | Kết quả: + chuối + chuối * chuối, + Z + Z * Z
Quy tắc: * = Z | * Z = Z | Z = * | * Z = | Kết quả: * rắn hổ mang = chuột rắn hổ mang, * Z = Z
Quy tắc: * + X X - | * + X - | X - + * | - + X * | Kết quả: * + chuột đào đào đào -, * + X X -
Quy tắc: X Z * - | X - Z * | X - * Z | - X * Z | Kết quả: dưa hấu - * chim cánh cụt, X - * Z
Quy tắc: + = Y X * | = * X Y + | * + X Y = | * + Y X = | Kết quả: * + dưa hấu kiwi việt quất =, * + X Y =
Quy tắc: X Y = * | X Y * = | = X Y * X | Y * X = | Kết quả: = chim cánh cụt con dấu trâu ngựa * ngựa chim cánh cụt, = X Y * X
Quy tắc: Y - X Z = | Z = - Y X | = X Y Z - | Z X Y - = | Kết quả: rắn hổ mang - cá voi việt quất dâu =, Y - X Z =
Quy tắc: * X * Z | * * Z X | * Z * X | Z * * X | Kết quả: * trâu * ngựa, * Z * X
Quy tắc: X = Y * | Y = * X | = Y X * | = * Y X | Kết quả: = cá mập dâu nho *, = Y X *
Quy tắc: Z * X - | Z * X - | * X - Z | X* Z Z - | Kết quả: trâu * cá mập dâu tây cá mập dâu tây -, X* Z Z -
Quy tắc: = Y Y Z = - | - = Z = Y | Z = - Y = | Z Y - = = | Kết quả: = cá voi chuối cá voi cá mập ngựa = -, = Y Y Z = -
Quy tắc: * Y = + | * Y = Y + | Y * + = | + Y * = | Kết quả: * kiwi = kiwi +, * Y = Y +
Quy tắc: + Z X + | + + X Z | X + + Z | Z + X + | Kết quả: chuối + + blackberry, X + + Z
Quy tắc: X + Y * | X * + Y | Y X * + | * + Y X Y | Kết quả: * + cá mập dưa hấu đại bàng cá mập, * + Y X Y
Quy tắc: Z * X * = | * = * Z X | = Z * X * | * Z * = X | Kết quả: * blackberry * = dâu đen đào, * Z * = X
Quy tắc: * - X Z | X Z - * | X X Z * - | Z * X - | Kết quả: dưa hấu dưa hấu ngựa vằn việt quất * -, X X Z * -
Quy tắc: - Z Y = | - Y = Z | Z - Y = | Z Y - = | Kết quả: - ngựa vằn trâu = chuột, - Y = Z
Quy tắc: + Z = X - | X = Z + - | Z + = - X | Z X = + - | Kết quả: đại bàng + = - ngựa dưa hấu, Z + = - X
Quy tắc: + = - Y X | - X = + Y | Y - + X = | = Y X - + | Kết quả: = dưa hấu rắn hổ mang việt quất - +, = Y X - +
Quy tắc: = Z X * | Z = X X * | * = X Z | * Z X = | Kết quả: lê kiwi = đào đào *, Z = X X *
Quy tắc: + = X Y Z | Z X + Y = | Y = Z X + | = + Z Y X | Kết quả: quả việt quất dưa hấu + táo đại bàng =, Z X + Y =
Quy tắc: - Y - X * | - X * - Y | * Y X - - | X Y * - X - | Kết quả: cá voi chim cánh cụt ngựa táo * - chim cánh cụt cá voi -, X Y * - X -
Quy tắc: Y + = Z + X | Y X + Z = + | Z X + = Y + | + X + = Y Z | Kết quả: ngựa vằn + = cá mập + đào, Y + = Z + X
Quy tắc: - Y = * Z | - Y Z * = | - Y * = Z | - * Z Y = | Kết quả: - dâu tây = * việt quất, - Y = * Z
Quy tắc: + = + X X X | X + = + | X + = + | X + = | Kết quả: + = + dâu tây dâu tây, + = + X X X
Quy tắc: Z + - X | + X - Z | Z X + - | Z + X X - | Kết quả: đại bàng việt quất + chim cánh cụt đại bàng chim cánh cụt đại bàng -, Z + X X -
Quy tắc: = Z - + Y | Z = + Y - | + Y Z - = | Y - Z + = | Kết quả: chuột kiwi = + táo -, Z = + Y -
Quy tắc: Y X Y + - | X - + Y | X + Y - | X - + Y | Kết quả: rắn hổ mang táo rắn hổ mang táo + -, Y X Y + -
Quy tắc: - X Z = * | Z X * - = X | * - X = Z | = * - X Z | Kết quả: lê chuột * - = lê, Z X * - = X
Quy tắc: + X + | X + + | X + + | + + X | Kết quả: cò + cò +, X + X +
Quy tắc: Y X * * - | - * X Y * | - Y X X * * | * * X - Y | Kết quả: - cò dâu tây * *, - Y X X * *
Quy tắc: Y + - = Z Z | Z = + - Y | Z + = Y - | Y = Z + - | Kết quả: chim cánh cụt ngựa + - = trâu dưa hấu trâu dưa hấu, Y + - = Z Z
Quy tắc: + Y = * Z | = * Y + Z | = + Z * Y Y | + Y = Z * | Kết quả: = + ngựa vằn trâu * đào dưa hấu đào dưa hấu, = + Z * Y Y
Quy tắc: * + Y * | * * Y + | Y * * + | * + Y * Y | Kết quả: * + con dấu blackberry * con dấu blackberry, * + Y * Y
Quy tắc: Y Z - + | + Y - Z | + - Y Z | + Y - Z | Kết quả: sư tử rắn hổ mang đại bàng - +, Y Z - +
Quy tắc: Z = X - * | * - Z X = | - Z * = X | Z * = X - | Kết quả: * - đào trâu đại bàng =, * - Z X =
Quy tắc: = + X Y | Y X = X + | Y + X = | Y = X + | Kết quả: ngựa vằn đại bàng sư tử = ngựa vằn đại bàng +, Y X = X +
Quy tắc: * - Y Z - | Y Z - Y - * | Z - * Y - | - * Y - Z | Kết quả: hải cẩu dâu đen trâu - trâu đen - *, Y Z - Y - *
Quy tắc: * Z = X | * = Z X | Z * X = | = Z * X | Kết quả: * đại bàng cá mập = sư tử trâu, * Z = X
Quy tắc: Y Z = - | Z Y - = | Z Y - = | = Z - Y | Kết quả: ngựa sư tử việt quất - =, Z Y - =
Quy tắc: * + Z X * | X * Z + * | Z X + * * | * Z + * X | Kết quả: * + cá voi ngựa vằn đào *, * + Z X *
Quy tắc: Z + + | + Z Z + | + Z + | + + Z | Kết quả: + cò +, + Z Z +
Quy tắc: X - * Y Z | * - X Y Z | * - Z X Y | Z X - * Y | Kết quả: * - con dấu chuối đại bàng kiwi, * - X Y Z
Quy tắc: + Z + X | Z + X + | + Z X + Z | + X Z + | Kết quả: + blackberry rat apple banana + blackberry rat, + Z X + Z
Quy tắc: Y Z X - + | - + Y X Z | Z X + Y - | X Y + - Z | Kết quả: chuột đào dưa hấu đào + blackberry -, Z X + Y -
Quy tắc: * Z = | Z = * Z | = Z * | * = Z | Kết quả: đại bàng = * đại bàng, Z = * Z
Quy tắc: + X + Z Y | + Z + Y X | X Z + Y + | + + X Y Z | Kết quả: + cò + rắn hổ mang chuối, + X + Z Y
Quy tắc: - Z X + Y = | Y X - + Z = | + = - Z Y X | + = - X Z Y | Kết quả: + = - blackberry cá mập trâu đen dưa hấu blackberry, + = - X Z Y
Quy tắc: Z Y - = * | Z - * Y = | * Y Z - = | Y Y = - Z * | Kết quả: nho nho = - dâu đen trâu *, Y Y = - Z *
Quy tắc: X + * + | X + * + | X * + X + | X + + * | Kết quả: lê trâu * + lê trâu +, X * + X +
Quy tắc: Y Y * X + | Y X + * | + Y * X | Y + * X | Kết quả: đào đào * cá mập +, Y Y * X +
Quy tắc: X * + + Z X | Z + + X * | X Z + + * | Z + * + X | Kết quả: blackberry * + sư tử dâu đen, X * + Z X
Quy tắc: Z + = X = | Z + X = = | = X Z X = + | + Z = X = | Kết quả: = con dấu blackberry = +, = X Z X = +
Quy tắc: * X Y + | + X Y * | X X Y * + | X Y * + | Kết quả: blackberry apple blackberry apple apple banana * +, X X Y* +
Quy tắc: Y X * * = | X Y = * * | * X = Y * | X * * = Y | Kết quả: * rắn hổ mang dưa hấu = chuối chuối *, * X = Y *
Quy tắc: Z - + = | = Z - + | = - + Z | = Z Z + - | Kết quả: = lê đào đào đào + -, = Z Z + -
Quy tắc: = Y X - | Y - X = | X = - Y | - = Y X | Kết quả: chuối việt quất = - cá voi, X = - Y
Quy tắc: = Z X Y * | * X = Z Y | X = Z Y * | Z * = X Y | Kết quả: ngựa * = cá voi sư tử, Z * = X Y
Quy tắc: X * Y + | * Y + X | * Y + X | * + X Y | Kết quả: con dấu * cá mập +, X * Y +
Quy tắc: Z Y - - | Y Z - - | - Z - Y | Z - Y - | Kết quả: - kiwi ngựa vằn - chim cánh cụt kiwi, - Z - Y
Quy tắc: X - = = | = - = X | X X = - X | - = X = | Kết quả: chim cánh cụt = = - chim cánh cụt, X X = - X
Quy tắc: Z X + + | Z + + X | + X + Z | Z + + X | Kết quả: táo ngựa vằn đại bàng + +, Z X +
Quy tắc: + = Z | Z = + Z | + = Z | = Z + | Kết quả: rắn hổ mang trâu = + rắn hổ mang trâu, Z = + Z
Quy tắc: X - - = Z Y | X Y Z - - = | - X - Z Y = | - Y - X Z = | Kết quả: con dấu táo - - = đào rắn hổ mang việt quất, X - - = Z Y
Quy tắc: - - Y X Z | - - Z X Y | Z Y - X - | Y X - Z - | Kết quả: dưa hấu kiwi ngựa - lê -, Y X - Z -
Quy tắc: = Y - X | = Y X - | Y = X - | X X Y - = | Kết quả: dưa hấu ngựa dưa hấu đào - =, X X Y - =
Quy tắc: Y Z = + Z * | * = Y + Z | Z = * Y + | + * Y = Z | Kết quả: dâu đen trâu = + trâu *, Y Z = + Z *
Quy tắc: - - X Z | Z - - X | Z - - X | - X Z - | Kết quả: chim cánh cụt ngựa vằn - - chuột đào, Z - - X
Quy tắc: Z * = Z X | = X * Z | = Z * X | = Z X * | Kết quả: táo * = kiwi táo, Z * = Z X
Quy tắc: Z - X + - | Z - X - + | - X - X + Z | - X Z + - | Kết quả: - chim cánh cụt chuột - chim cánh cụt chuột + lê dưa hấu, - X - X + Z
Quy tắc: = + Y X | X + = Y | = Y X + | Y = X + | Kết quả: con dấu + = rắn hổ mang ngựa vằn, X + = Y
Quy tắc: X * Z + | X +* Z | * + X Z | X Z Z * + | Kết quả: chim cánh cụt chuối cá mập * +, X Z Z * +
Quy tắc: Y * X - | - * X Y | X Y X - * | X * Y - | Kết quả: cá voi đào dưa hấu chim cánh cụt cá voi đào đào - *, X Y X - *
Quy tắc: - Y X + | + - Y X | - Y + X | X + Y - | Kết quả: + - lê chuối, + - Y X
Quy tắc: = X * | X * = | * X = | X = * X X | Kết quả: con dấu = * con dấu, X = * X X
Quy tắc: X * = Y | X = * Y | = Y * X | = * Y X | Kết quả: sư tử lê * = dâu đen đại bàng, X * = Y
Quy tắc: * - * Y Z | * Y Z - * | Y Z * - * | * * Z Y - | Kết quả: * - * rắn hổ mang chuối, * - * Y Z
Quy tắc: Z = X + * Y | Y X Z + = * | * Y Z X + = | * X Y Z + = | Kết quả: * chim cánh cụt đại bàng cá voi dưa hấu + =, * Y Z X + =
Quy tắc: * Z * | Z Z * * | * * Z | * Z * | Kết quả: cá voi đào đào cá voi * *, Z Z * *
Quy tắc: - Y - Z | Y - - Z | - Z Y | Y Z - - | Kết quả: cá mập táo - - cò, Y - - Z
Quy tắc: = Z * Y | Y * Z = | = Z * Y | Z Y * = | Kết quả: = đại bàng chuột * đại bàng, = Z * Y
Quy tắc: Y * - Z | - * Z Y | Y - Z * | Y - * Z | Kết quả: con dấu * - nho, Y * - Z
Quy tắc: * - Y + X | Y - + X * | * + - X Y | + X Y * - | Kết quả: * + - ngựa đào, * + - X Y
Quy tắc: = X Z - | Z - = X | = - Z X | Z = - X | Kết quả: = - dâu tây cá voi dâu tây, = - Z X
Quy tắc: - + X * Z | - + X * Z | * Z - X + | * + X Z - | Kết quả: * cò ngựa - chim cánh cụt cò +, * Z - X +
Quy tắc: + X * Z | Z X * + | Z X * + X | * + X Z | Kết quả: hải cẩu sư tử dưa hấu * + dưa hấu, Z X * + X
Quy tắc: Y Y - = * | Y = - * | * - Y = | - = * Y | Kết quả: ngựa vằn vằn - = *, Y Y - = *
Quy tắc: * Z - * Y | Y * - Z * | - Z Y * * | * Y * - Z | Kết quả: - cá mập cá voi kiwi * *, - Z Y * *
Quy tắc: + + X Y | X + + Y | + Y + X | Y X + + | Kết quả: + con dấu chuối nho, + + X Y
Quy tắc: - Z Y + + | - Y Z + Z + | Z + Y - | + - Y Z | Kết quả: - chuối kiwi + chuối +, - Y Z + Z +
Quy tắc: = Y X * | Y * X = | X = Y * | = Y X * | Kết quả: = ngựa vằn cá voi *, = Y X *
Quy tắc: Y + = X Z = | X = Y Z = + | = Z Y X = + | + Z Y = X | Kết quả: lê = chuối dưa hấu nho sư tử = +, X = Y Z = +
Quy tắc: Z * - Z X - | X - Z * - | - X * Z - | X - - * Z | Kết quả: dâu đen dâu đen * - dâu tây dâu đen chuối ngựa -, Z * - Z X -
Quy tắc: * = Z + X | * = Z X + | X = + Z * | = + * X Z | Kết quả: * = chuối + cò ngựa, * = Z + X
Quy tắc: = X * Z | Z * = X | = * X Z | X * = Z | Kết quả: = * lê cá voi, = * X Z Z
Quy tắc: - Y - - X | - Y Y X - - | - Y X - | X - - - Y | Kết quả: - cá voi táo táo ngựa vằn - -, - Y Y X - -
Quy tắc: * Z Y + | Y * Z + | Z + Y * | + * Z Y | Kết quả: + * cá mập ngựa hải cẩu, + * Z Y
Quy tắc: + Z Z + + | + Z + | + + + Z | + + + Z | Kết quả: + cá mập dâu tây + +, + Z Z + +
Quy tắc: = Y Z - = | = - = Z Y | = Z = - Y | = Y Z - | Kết quả: = kiwi = - việt quất, = Z = - Y
Quy tắc: X Z + = = | X = = + Z | X = + Z = | + Z X = | Kết quả: + hải cẩu chim cánh cụt = chim cánh cụt =, + Z X = X =
Quy tắc: Z = * | = * Z Z | * = Z | Z * = | Kết quả: = * rắn hổ mang, = * Z Z
Quy tắc: * Y Y +* Y | * * + Y | Y + * * | * * Y + | Kết quả: * cá mập cá mập + * cá mập, * Y +* Y
Quy tắc: - X Z - = | - = Z - X | Z X - = - | Z - X Z = - | Kết quả: dưa hấu - cá mập ngựa vằn dưa hấu = -, Z - X Z = -
Quy tắc: X + * Y | X Y + * | Y + X * | Y + X * | Kết quả: đào + * chuột, X + * Y
Quy tắc: = Y Z = | = Y Z = | = = Z Y Z | Z = Y = | Kết quả: = = dâu tây dâu đen, = = Z Y Z
Quy tắc: - Z Y Y * - | Z Y - - * | - Z * Y - | - Z - Y * | Kết quả: - chuột dâu tây * -, - Z Y Y * -
Quy tắc: - = = Y Z | Z Y Y = - = | = Y Z - = | Z - = Y = | Kết quả: cò kiwi = - =, Z Y Y = - =
Quy tắc: - = Y Y | Y = - | - = Y | Y - = | Kết quả: - = trâu việt quất, - = Y Y
Quy tắc: Z = X - + | Z X + - X = | = - + X Z | X + Z = - | Kết quả: rắn hổ mang lê + - lê =, Z X + - X =
Quy tắc: + - Z | + Z Z - | - + Z | - Z + | Kết quả: + lê lê -, + Z Z -
Quy tắc: X - + Z | - X Z + | - X Z + | - + Z X | Kết quả: dâu tây - + chim cánh cụt, X - + Z
Quy tắc: + + X Z + | + + X Z + | + + Z + X | X Z + + Z | Kết quả: táo dâu cá mập + + + táo dâu, X Z + + + Z
Quy tắc: = - + X | + = X - | + - = X | = X + X - | Kết quả: = lê chuối + lê chuối -, = X + X -
Quy tắc: X + * Z | + X * Z | Z + X * | * X + Z | Kết quả: cò kiwi + * cò, X + * Z
Quy tắc: + Y = X - | = - Y + X | - = Y X + | = Y + X - | Kết quả: = - chim cánh cụt + chim cánh cụt, = - Y + X
Quy tắc: X Y * X + | + * Y X | Y X * + | * + X Y | Kết quả: chuối đào ngựa * ngựa +, X Y * X +
Quy tắc: Z - X * + | Z X X * - + | - Z X * + | * - X + Z | Kết quả: chim cánh cụt trâu sư tử trâu sư tử trâu sư tử * - +, Z X X * - +
Quy tắc: Y * * X = Z | Y * X Z = * | * * Z X = Y | X * Z = Y * | Kết quả: chim cánh cụt cò * chim cánh cụt dâu tây ngựa vằn = *, Y * X Z = *
Quy tắc: * = Z X | X Z * = | * Z = X | Z X = * | Kết quả: sư tử cò rắn hổ mang * =, X Z * =
Quy tắc: * Z X + = | * Z X Z = + | = Z X * + | * X = Z + | Kết quả: * sư tử blackberry sư tử = +, * Z X Z = +
Quy tắc: - - Y X * | - X X * Y - | * Y X - - | - X * Y - | Kết quả: - ngựa vằn * rắn hổ mang -, - X X * Y -
Quy tắc: Z + * = X | + = * Z X | + = * X Z | + Z * = X X | Kết quả: + cá mập chim cánh cụt * = chuột táo táo, + Z * = X X
Quy tắc: Y Z = = Z | Z Y = | Z = Y | = Y | = Y = Z | Kết quả: quả lê cá voi nho kiwi = = lê kiwi, Y Z = Z
Quy tắc: Y + X * | Y + * X | * Y X + | X + Y Y * | Kết quả: việt quất + ngựa ngựa *, X + Y Y *
Quy tắc: Y Z = - | = - Y Z | Z = - Y | Y - = Z | Kết quả: chim cánh cụt - = chuối chuối, Y - = Z
Quy tắc: Z * + Y X * | Z * * Y X + | Z Y + X * * | Z X Y * + * | Kết quả: rắn hổ mang cá mập hải cẩu trâu việt quất * + *, Z X Y * + *
Quy tắc: X Y = * | Y X * = | Y X = X * | * = X Y | Kết quả: táo dưa hấu dâu tây = dưa hấu dâu tây *, Y X = X *
Quy tắc: X Y + = - | Y - X Y + = | Y = X - + | - = Y X + | Kết quả: việt quất - chuối việt quất + =, Y - X Y + =
Quy tắc: * Y * X X | X * Y * | * X Y * | Y * X * | Kết quả: * lê cá voi * ngựa, * Y * X X
Quy tắc: Y = - = X | = - X Y = | Y X = - | - = X Y | Kết quả: = - blackberry buffalo lion rat =, = - X Y =
Quy tắc: X - = Z = | X - = Z = | Z X = - = | - X = Z = | Kết quả: - ngựa vằn = cá voi =, - X = Z =
Quy tắc: Y X = * | Y X X * = | Y = X * | X = * Y | Kết quả: dâu trâu * =, Y X X * =
Quy tắc: X = Y - = | - = Y X | - = Y X | = - X = Y | Kết quả: = - chim cánh cụt cò = chim cánh cụt blackberry, = - X = Y
Quy tắc: + * Y X X | + * Y X | Y +* X | * + X Y | Kết quả: + * cá mập cá mập lê, + * Y X X
Quy tắc: X Z Y * = - | - Z Y X = * | * = - X Z Y | * X - Z Y = | Kết quả: niêm phong táo kiwi * = -, X Z Y * = -
Quy tắc: Y * = - X | = * Y X - | * X = Y - | * - = X Y Y | Kết quả: * - = cá voi vằn, * - = X Y Y
Quy tắc: * = Z * Y | Z = * * Z Y | Z * = * Y | Y * = Z * | Kết quả: rắn hổ mang chim cánh cụt = * * chim cánh cụt rắn hổ mang đào, Z = * * Z Y
Quy tắc: - = Y Z X | - Y = X Z | = - Y Z X | Y = - X Z | Kết quả: - chuột ngựa = quả táo cò lê, - Y = X Z
Quy tắc: - + Y X | + Y - Y X | X Y - + | X + Y - | Kết quả: + sư tử - chuột chuối sư tử, + Y - Y X
Quy tắc: Z X * - * | * Z * - X | - * * X Z Z | * Z * - X | Kết quả: - * * cá voi đào cò đào đào, - * * X Z Z
