source,target
"Rules: * Y - * X Z | Substitutions: X by "" shark "" , Y by "" stork "" , Z by "" stork """,* stork - * shark stork
"Rules: Y X Y = + * | Substitutions: X by "" grape shark "" , Y by "" penguin buffalo """,penguin buffalo grape shark penguin buffalo = + *
"Rules: - Y Z + X | Substitutions: X by "" lion grape "" , Y by "" peach grape "" , Z by "" whale """,- peach grape whale + lion grape
"Rules: X * X * = | Substitutions: X by "" stork """,stork * stork * =
"Rules: Z - Y - | Substitutions: Y by "" blackberry "" , Z by "" pear """,pear - blackberry -
"Rules: X = + Y Z | Substitutions: X by "" watermelon whale "" , Y by "" grape "" , Z by "" strawberry """,watermelon whale = + grape strawberry
"Rules: Y X - - Y + | Substitutions: X by "" watermelon penguin "" , Y by "" zebra """,zebra watermelon penguin - - zebra +
"Rules: - - Z X X | Substitutions: X by "" shark "" , Z by "" buffalo banana """,- - buffalo banana shark shark
"Rules: + X Y - | Substitutions: X by "" watermelon shark "" , Y by "" rat """,+ watermelon shark rat -
"Rules: + Y + Z Y | Substitutions: Y by "" grape "" , Z by "" strawberry """,+ grape + strawberry grape
"Rules: * = X Z | Substitutions: X by "" watermelon grape "" , Z by "" rat pear """,* = watermelon grape rat pear
"Rules: * Y = Y | Substitutions: Y by "" kiwi kiwi """,* kiwi kiwi = kiwi kiwi
"Rules: Y = X X - | Substitutions: X by "" apple "" , Y by "" horse """,horse = apple apple -
"Rules: = Y = X X | Substitutions: X by "" seal "" , Y by "" apple """,= apple = seal seal
"Rules: + Y - X | Substitutions: X by "" blackberry banana "" , Y by "" banana """,+ banana - blackberry banana
"Rules: - * Z Z + | Substitutions: Z by "" apple peach """,- * apple peach apple peach +
"Rules: Z - Y * | Substitutions: Y by "" grape "" , Z by "" lion """,lion - grape *
"Rules: Y = Z - | Substitutions: Y by "" lion whale "" , Z by "" blackberry """,lion whale = blackberry -
"Rules: = = Y - X | Substitutions: X by "" rat "" , Y by "" strawberry eagle """,= = strawberry eagle - rat
"Rules: X = = + X | Substitutions: X by "" blackberry lion """,blackberry lion = = + blackberry lion
"Rules: Z + * * X | Substitutions: X by "" apple "" , Z by "" penguin blueberry """,penguin blueberry + * * apple
"Rules: + * Y Y * X | Substitutions: X by "" blueberry grape "" , Y by "" penguin """,+ * penguin penguin * blueberry grape
"Rules: Z + X = | Substitutions: X by "" rat "" , Z by "" eagle """,eagle + rat =
"Rules: Y Y = + | Substitutions: Y by "" blueberry peach """,blueberry peach blueberry peach = +
"Rules: + * + Y Y | Substitutions: Y by "" blueberry """,+ * + blueberry blueberry
"Rules: * Y - Y - | Substitutions: Y by "" penguin blueberry """,* penguin blueberry - penguin blueberry -
"Rules: X = Y Z + | Substitutions: X by "" strawberry lion "" , Y by "" eagle "" , Z by "" banana """,strawberry lion = eagle banana +
"Rules: + = Y X Y | Substitutions: X by "" cobra "" , Y by "" eagle """,+ = eagle cobra eagle
"Rules: = X * = X X | Substitutions: X by "" pear blueberry """,= pear blueberry * = pear blueberry pear blueberry
"Rules: + Y Y X - | Substitutions: X by "" kiwi "" , Y by "" blackberry eagle """,+ blackberry eagle blackberry eagle kiwi -
"Rules: Z Z - + | Substitutions: Z by "" peach rat """,peach rat peach rat - +
"Rules: + * Y Z X * | Substitutions: X by "" grape blackberry "" , Y by "" banana "" , Z by "" lion """,+ * banana lion grape blackberry *
"Rules: * Z X - - Y | Substitutions: X by "" eagle "" , Y by "" stork "" , Z by "" peach blackberry """,* peach blackberry eagle - - stork
"Rules: + - X X | Substitutions: X by "" apple """,+ - apple apple
"Rules: + + Y Z | Substitutions: Y by "" rat penguin "" , Z by "" apple blackberry """,+ + rat penguin apple blackberry
"Rules: + Y + X | Substitutions: X by "" strawberry penguin "" , Y by "" shark """,+ shark + strawberry penguin
"Rules: Z + X + X | Substitutions: X by "" grape "" , Z by "" seal buffalo """,seal buffalo + grape + grape
"Rules: Y = + Y * | Substitutions: Y by "" rat """,rat = + rat *
"Rules: Y Y * * Y | Substitutions: Y by "" lion rat """,lion rat lion rat * * lion rat
"Rules: - Y * Y | Substitutions: Y by "" strawberry zebra """,- strawberry zebra * strawberry zebra
"Rules: Z = - X - | Substitutions: X by "" penguin "" , Z by "" eagle eagle """,eagle eagle = - penguin -
"Rules: X + + Z | Substitutions: X by "" peach whale "" , Z by "" eagle """,peach whale + + eagle
"Rules: - Y = X = X | Substitutions: X by "" stork "" , Y by "" pear """,- pear = stork = stork
"Rules: * Z Y * + X | Substitutions: X by "" strawberry horse "" , Y by "" strawberry peach "" , Z by "" pear eagle """,* pear eagle strawberry peach * + strawberry horse
"Rules: * - Y + X | Substitutions: X by "" blueberry "" , Y by "" buffalo """,* - buffalo + blueberry
"Rules: - X X - Y + | Substitutions: X by "" shark "" , Y by "" seal blackberry """,- shark shark - seal blackberry +
"Rules: X X - + = | Substitutions: X by "" lion buffalo """,lion buffalo lion buffalo - + =
"Rules: Y = X + + | Substitutions: X by "" stork "" , Y by "" horse """,horse = stork + +
"Rules: Z = - * X | Substitutions: X by "" lion penguin "" , Z by "" blackberry blackberry """,blackberry blackberry = - * lion penguin
"Rules: - * * Y Y | Substitutions: Y by "" whale buffalo """,- * * whale buffalo whale buffalo
"Rules: Y - * X | Substitutions: X by "" blackberry blackberry "" , Y by "" horse zebra """,horse zebra - * blackberry blackberry
"Rules: Y = Z * Z | Substitutions: Y by "" eagle "" , Z by "" shark shark """,eagle = shark shark * shark shark
"Rules: - Z X Y - | Substitutions: X by "" lion penguin "" , Y by "" stork "" , Z by "" grape """,- grape lion penguin stork -
"Rules: X Z + Z = = | Substitutions: X by "" apple watermelon "" , Z by "" stork """,apple watermelon stork + stork = =
"Rules: X * X Z + | Substitutions: X by "" whale "" , Z by "" horse strawberry """,whale * whale horse strawberry +
"Rules: Z * Y - + | Substitutions: Y by "" strawberry "" , Z by "" horse horse """,horse horse * strawberry - +
"Rules: X X * Z * | Substitutions: X by "" banana eagle "" , Z by "" penguin kiwi """,banana eagle banana eagle * penguin kiwi *
"Rules: - Z X X - | Substitutions: X by "" penguin shark "" , Z by "" banana stork """,- banana stork penguin shark penguin shark -
"Rules: X X = + - | Substitutions: X by "" peach """,peach peach = + -
"Rules: Z - Y - + | Substitutions: Y by "" watermelon "" , Z by "" lion """,lion - watermelon - +
"Rules: = Y Y = = | Substitutions: Y by "" kiwi zebra """,= kiwi zebra kiwi zebra = =
"Rules: Y = + X - | Substitutions: X by "" kiwi "" , Y by "" grape """,grape = + kiwi -
"Rules: X Z - X = * | Substitutions: X by "" peach "" , Z by "" lion cobra """,peach lion cobra - peach = *
"Rules: * X X = | Substitutions: X by "" rat horse """,* rat horse rat horse =
"Rules: + Z X + Z | Substitutions: X by "" apple banana "" , Z by "" blackberry banana """,+ blackberry banana apple banana + blackberry banana
"Rules: + = Y Y | Substitutions: Y by "" whale eagle """,+ = whale eagle whale eagle
"Rules: = Z * * X | Substitutions: X by "" zebra "" , Z by "" whale blueberry """,= whale blueberry * * zebra
"Rules: Y * - X + | Substitutions: X by "" shark banana "" , Y by "" shark seal """,shark seal * - shark banana +
"Rules: + * Z - Y X | Substitutions: X by "" apple rat "" , Y by "" grape seal "" , Z by "" shark """,+ * shark - grape seal apple rat
"Rules: - Z + X | Substitutions: X by "" cobra "" , Z by "" cobra peach """,- cobra peach + cobra
"Rules: Z Y = Z = + | Substitutions: Y by "" grape banana "" , Z by "" rat """,rat grape banana = rat = +
"Rules: Z = Y * | Substitutions: Y by "" seal blueberry "" , Z by "" whale banana """,whale banana = seal blueberry *
"Rules: = Y + Z * | Substitutions: Y by "" blackberry lion "" , Z by "" grape """,= blackberry lion + grape *
"Rules: Z * = Y | Substitutions: Y by "" whale "" , Z by "" penguin """,penguin * = whale
"Rules: Z + - Z = Y | Substitutions: Y by "" apple "" , Z by "" stork """,stork + - stork = apple
"Rules: Z X + = - | Substitutions: X by "" shark "" , Z by "" lion """,lion shark + = -
"Rules: + Z Z - Z | Substitutions: Z by "" peach """,+ peach peach - peach
"Rules: = Z * * Y | Substitutions: Y by "" shark rat "" , Z by "" horse horse """,= horse horse * * shark rat
"Rules: Y + + * Y X | Substitutions: X by "" cobra strawberry "" , Y by "" peach cobra """,peach cobra + + * peach cobra cobra strawberry
"Rules: Y = Z Z - | Substitutions: Y by "" eagle cobra "" , Z by "" watermelon """,eagle cobra = watermelon watermelon -
"Rules: = Y Z * | Substitutions: Y by "" blackberry "" , Z by "" blueberry zebra """,= blackberry blueberry zebra *
"Rules: X + X + - | Substitutions: X by "" strawberry rat """,strawberry rat + strawberry rat + -
"Rules: Z - * X | Substitutions: X by "" whale lion "" , Z by "" penguin peach """,penguin peach - * whale lion
"Rules: + X + Y * X | Substitutions: X by "" eagle "" , Y by "" blueberry horse """,+ eagle + blueberry horse * eagle
"Rules: + = Z Z - | Substitutions: Z by "" kiwi """,+ = kiwi kiwi -
"Rules: - Z - Y X = | Substitutions: X by "" peach penguin "" , Y by "" cobra "" , Z by "" blackberry """,- blackberry - cobra peach penguin =
"Rules: Y Y Z + * | Substitutions: Y by "" zebra "" , Z by "" blackberry eagle """,zebra zebra blackberry eagle + *
"Rules: = X Z = X | Substitutions: X by "" lion shark "" , Z by "" watermelon rat """,= lion shark watermelon rat = lion shark
"Rules: * Y + Y - | Substitutions: Y by "" stork penguin """,* stork penguin + stork penguin -
"Rules: * Y Z + Z + | Substitutions: Y by "" stork stork "" , Z by "" rat """,* stork stork rat + rat +
"Rules: * + X Y X | Substitutions: X by "" banana grape "" , Y by "" banana rat """,* + banana grape banana rat banana grape
"Rules: Y + + Y = | Substitutions: Y by "" strawberry """,strawberry + + strawberry =
"Rules: * Y = Z | Substitutions: Y by "" cobra shark "" , Z by "" buffalo banana """,* cobra shark = buffalo banana
"Rules: + = Y Y Z | Substitutions: Y by "" pear "" , Z by "" apple """,+ = pear pear apple
"Rules: - * Z Z * | Substitutions: Z by "" strawberry banana """,- * strawberry banana strawberry banana *
"Rules: Z + * = X | Substitutions: X by "" peach watermelon "" , Z by "" blueberry blackberry """,blueberry blackberry + * = peach watermelon
"Rules: - + Y X + | Substitutions: X by "" peach zebra "" , Y by "" buffalo """,- + buffalo peach zebra +
"Rules: * X * X * | Substitutions: X by "" zebra """,* zebra * zebra *
"Rules: Z X * - - | Substitutions: X by "" buffalo "" , Z by "" watermelon peach """,watermelon peach buffalo * - -
"Rules: Z X - * | Substitutions: X by "" kiwi buffalo "" , Z by "" rat blackberry """,rat blackberry kiwi buffalo - *
"Rules: Y - + Z = | Substitutions: Y by "" kiwi "" , Z by "" peach kiwi """,kiwi - + peach kiwi =
"Rules: * Z = Z Y | Substitutions: Y by "" rat blackberry "" , Z by "" eagle rat """,* eagle rat = eagle rat rat blackberry
"Rules: X Z * + Y - | Substitutions: X by "" banana eagle "" , Y by "" shark "" , Z by "" whale """,banana eagle whale * + shark -
"Rules: X * - Y | Substitutions: X by "" grape "" , Y by "" zebra """,grape * - zebra
"Rules: Y X = - Z = | Substitutions: X by "" stork "" , Y by "" eagle "" , Z by "" rat """,eagle stork = - rat =
"Rules: = Y = Y | Substitutions: Y by "" whale buffalo """,= whale buffalo = whale buffalo
"Rules: + + Y Z X | Substitutions: X by "" apple blackberry "" , Y by "" blackberry "" , Z by "" peach """,+ + blackberry peach apple blackberry
"Rules: X = = = Z | Substitutions: X by "" cobra "" , Z by "" banana shark """,cobra = = = banana shark
"Rules: = - X - Y Z | Substitutions: X by "" strawberry stork "" , Y by "" lion peach "" , Z by "" blueberry """,= - strawberry stork - lion peach blueberry
"Rules: * Z Y - | Substitutions: Y by "" zebra rat "" , Z by "" lion horse """,* lion horse zebra rat -
"Rules: Z - * Z Z | Substitutions: Z by "" stork eagle """,stork eagle - * stork eagle stork eagle
"Rules: + Z + + Z | Substitutions: Z by "" seal """,+ seal + + seal
"Rules: X - X + * | Substitutions: X by "" strawberry """,strawberry - strawberry + *
"Rules: Z X + - * | Substitutions: X by "" whale lion "" , Z by "" horse """,horse whale lion + - *
"Rules: * X X - Z | Substitutions: X by "" lion shark "" , Z by "" eagle """,* lion shark lion shark - eagle
"Rules: X - * Y | Substitutions: X by "" whale "" , Y by "" whale """,whale - * whale
"Rules: - X Z + | Substitutions: X by "" penguin "" , Z by "" whale """,- penguin whale +
"Rules: = X - + Y Z | Substitutions: X by "" penguin banana "" , Y by "" horse "" , Z by "" blueberry watermelon """,= penguin banana - + horse blueberry watermelon
"Rules: X + = X * | Substitutions: X by "" whale zebra """,whale zebra + = whale zebra *
"Rules: = X * Z | Substitutions: X by "" stork "" , Z by "" kiwi """,= stork * kiwi
"Rules: Y * Z - | Substitutions: Y by "" blackberry horse "" , Z by "" lion """,blackberry horse * lion -
"Rules: Y = = Y | Substitutions: Y by "" horse """,horse = = horse
"Rules: * * - Z X | Substitutions: X by "" whale "" , Z by "" shark whale """,* * - shark whale whale
"Rules: Z + X = | Substitutions: X by "" kiwi "" , Z by "" banana """,banana + kiwi =
"Rules: X + + Z * | Substitutions: X by "" grape grape "" , Z by "" seal """,grape grape + + seal *
"Rules: + Z X Z * - | Substitutions: X by "" apple "" , Z by "" pear """,+ pear apple pear * -
"Rules: X Y + X = * | Substitutions: X by "" buffalo "" , Y by "" watermelon """,buffalo watermelon + buffalo = *
"Rules: X X * + | Substitutions: X by "" banana stork """,banana stork banana stork * +
"Rules: Y - - Y | Substitutions: Y by "" watermelon blueberry """,watermelon blueberry - - watermelon blueberry
"Rules: - X Y + * | Substitutions: X by "" rat blueberry "" , Y by "" whale blueberry """,- rat blueberry whale blueberry + *
"Rules: = Y X = Z | Substitutions: X by "" eagle rat "" , Y by "" zebra "" , Z by "" whale """,= zebra eagle rat = whale
"Rules: + * - X Y | Substitutions: X by "" buffalo "" , Y by "" blackberry whale """,+ * - buffalo blackberry whale
"Rules: * Y = Z | Substitutions: Y by "" pear "" , Z by "" pear horse """,* pear = pear horse
"Rules: + X Z Z - | Substitutions: X by "" horse banana "" , Z by "" zebra rat """,+ horse banana zebra rat zebra rat -
"Rules: Y = * Z Z + | Substitutions: Y by "" rat watermelon "" , Z by "" zebra """,rat watermelon = * zebra zebra +
"Rules: * Z * Z | Substitutions: Z by "" kiwi """,* kiwi * kiwi
"Rules: * Y * X + | Substitutions: X by "" penguin eagle "" , Y by "" horse """,* horse * penguin eagle +
"Rules: Y = * = Y Z | Substitutions: Y by "" banana grape "" , Z by "" kiwi """,banana grape = * = banana grape kiwi
"Rules: Y = Y Y + | Substitutions: Y by "" blueberry """,blueberry = blueberry blueberry +
"Rules: - Y Y X + | Substitutions: X by "" shark "" , Y by "" kiwi """,- kiwi kiwi shark +
"Rules: * Y - Z | Substitutions: Y by "" grape "" , Z by "" watermelon grape """,* grape - watermelon grape
"Rules: Y - - Z | Substitutions: Y by "" rat "" , Z by "" kiwi grape """,rat - - kiwi grape
"Rules: Y X - = * | Substitutions: X by "" banana "" , Y by "" watermelon """,watermelon banana - = *
"Rules: Y - X X - | Substitutions: X by "" buffalo zebra "" , Y by "" shark pear """,shark pear - buffalo zebra buffalo zebra -
"Rules: Z + Z * Z | Substitutions: Z by "" blackberry """,blackberry + blackberry * blackberry
"Rules: * X Y * | Substitutions: X by "" cobra "" , Y by "" watermelon apple """,* cobra watermelon apple *
"Rules: Z - Y - | Substitutions: Y by "" zebra "" , Z by "" banana peach """,banana peach - zebra -
"Rules: * X = Y Z | Substitutions: X by "" blueberry "" , Y by "" pear shark "" , Z by "" rat """,* blueberry = pear shark rat
"Rules: X + - - X | Substitutions: X by "" whale grape """,whale grape + - - whale grape
"Rules: X + X = + | Substitutions: X by "" blueberry buffalo """,blueberry buffalo + blueberry buffalo = +
"Rules: Y X + * X | Substitutions: X by "" shark "" , Y by "" banana watermelon """,banana watermelon shark + * shark
"Rules: X = - Z + Y | Substitutions: X by "" watermelon horse "" , Y by "" eagle blueberry "" , Z by "" penguin lion """,watermelon horse = - penguin lion + eagle blueberry
"Rules: - + Y * X Y | Substitutions: X by "" zebra "" , Y by "" apple """,- + apple * zebra apple
"Rules: Y Y Y = = | Substitutions: Y by "" cobra rat """,cobra rat cobra rat cobra rat = =
"Rules: X = - X = | Substitutions: X by "" seal """,seal = - seal =
"Rules: - - Z Z | Substitutions: Z by "" buffalo grape """,- - buffalo grape buffalo grape
"Rules: X = Z X = = | Substitutions: X by "" kiwi "" , Z by "" lion cobra """,kiwi = lion cobra kiwi = =
"Rules: * * Y Z * X | Substitutions: X by "" shark kiwi "" , Y by "" whale "" , Z by "" kiwi eagle """,* * whale kiwi eagle * shark kiwi
"Rules: X * Z + | Substitutions: X by "" stork "" , Z by "" apple whale """,stork * apple whale +
"Rules: * - X Y Z | Substitutions: X by "" penguin banana "" , Y by "" seal horse "" , Z by "" whale seal """,* - penguin banana seal horse whale seal
"Rules: X Y - = | Substitutions: X by "" blueberry "" , Y by "" rat """,blueberry rat - =
"Rules: Y = * + X Z | Substitutions: X by "" buffalo seal "" , Y by "" buffalo "" , Z by "" cobra """,buffalo = * + buffalo seal cobra
"Rules: X = + Y * | Substitutions: X by "" pear "" , Y by "" blueberry watermelon """,pear = + blueberry watermelon *
"Rules: Y = + X Y | Substitutions: X by "" peach shark "" , Y by "" kiwi apple """,kiwi apple = + peach shark kiwi apple
"Rules: = + Y X = | Substitutions: X by "" shark grape "" , Y by "" banana """,= + banana shark grape =
"Rules: X = X X + | Substitutions: X by "" apple kiwi """,apple kiwi = apple kiwi apple kiwi +
"Rules: X Y + * = | Substitutions: X by "" peach "" , Y by "" stork """,peach stork + * =
"Rules: + = Z X = | Substitutions: X by "" buffalo blueberry "" , Z by "" horse """,+ = horse buffalo blueberry =
"Rules: X - X + | Substitutions: X by "" grape """,grape - grape +
"Rules: X + - X + Z | Substitutions: X by "" apple penguin "" , Z by "" peach kiwi """,apple penguin + - apple penguin + peach kiwi
"Rules: Z + - X | Substitutions: X by "" blackberry "" , Z by "" stork shark """,stork shark + - blackberry
"Rules: = X Z Z - | Substitutions: X by "" banana eagle "" , Z by "" stork grape """,= banana eagle stork grape stork grape -
"Rules: * Z - Z Z | Substitutions: Z by "" buffalo stork """,* buffalo stork - buffalo stork buffalo stork
"Rules: Y * Y - X - | Substitutions: X by "" pear "" , Y by "" pear blueberry """,pear blueberry * pear blueberry - pear -
"Rules: + - X X Z | Substitutions: X by "" lion eagle "" , Z by "" buffalo horse """,+ - lion eagle lion eagle buffalo horse
"Rules: - X Y * Z + | Substitutions: X by "" apple "" , Y by "" watermelon "" , Z by "" kiwi blueberry """,- apple watermelon * kiwi blueberry +
"Rules: Z - + Z X | Substitutions: X by "" rat whale "" , Z by "" peach """,peach - + peach rat whale
"Rules: = Y = X = Y | Substitutions: X by "" lion "" , Y by "" pear whale """,= pear whale = lion = pear whale
"Rules: Z + X * Z * | Substitutions: X by "" blueberry "" , Z by "" buffalo grape """,buffalo grape + blueberry * buffalo grape *
"Rules: = Z Z Y * * | Substitutions: Y by "" blueberry banana "" , Z by "" penguin """,= penguin penguin blueberry banana * *
"Rules: - X - X | Substitutions: X by "" peach """,- peach - peach
"Rules: X X = - | Substitutions: X by "" shark """,shark shark = -
"Rules: - X - X - | Substitutions: X by "" shark """,- shark - shark -
"Rules: Z X * = Z | Substitutions: X by "" peach "" , Z by "" strawberry """,strawberry peach * = strawberry
"Rules: + X Y * - X | Substitutions: X by "" blackberry shark "" , Y by "" shark """,+ blackberry shark shark * - blackberry shark
"Rules: + - X X * | Substitutions: X by "" peach """,+ - peach peach *
"Rules: Z + X * X | Substitutions: X by "" watermelon "" , Z by "" banana """,banana + watermelon * watermelon
"Rules: Z X = * | Substitutions: X by "" horse "" , Z by "" strawberry apple """,strawberry apple horse = *
"Rules: * Y = - Z Z | Substitutions: Y by "" lion horse "" , Z by "" eagle watermelon """,* lion horse = - eagle watermelon eagle watermelon
"Rules: = X - - X | Substitutions: X by "" grape blueberry """,= grape blueberry - - grape blueberry
"Rules: * = = X Y | Substitutions: X by "" zebra cobra "" , Y by "" penguin """,* = = zebra cobra penguin
"Rules: X = * - Z | Substitutions: X by "" penguin seal "" , Z by "" grape """,penguin seal = * - grape
"Rules: = - Y + Z | Substitutions: Y by "" banana buffalo "" , Z by "" peach """,= - banana buffalo + peach
"Rules: X Z Z = * | Substitutions: X by "" penguin "" , Z by "" penguin lion """,penguin penguin lion penguin lion = *
"Rules: - X = Z | Substitutions: X by "" penguin grape "" , Z by "" zebra """,- penguin grape = zebra
"Rules: Z Z Z = * | Substitutions: Z by "" watermelon """,watermelon watermelon watermelon = *
"Rules: - X + X X | Substitutions: X by "" whale """,- whale + whale whale
"Rules: + Z = Y | Substitutions: Y by "" seal whale "" , Z by "" shark """,+ shark = seal whale
"Rules: * * Y * Y | Substitutions: Y by "" cobra whale """,* * cobra whale * cobra whale
"Rules: = Z * Y Y | Substitutions: Y by "" cobra eagle "" , Z by "" blackberry grape """,= blackberry grape * cobra eagle cobra eagle
"Rules: Y + Y X + | Substitutions: X by "" watermelon seal "" , Y by "" blueberry blueberry """,blueberry blueberry + blueberry blueberry watermelon seal +
"Rules: * + Y + Z | Substitutions: Y by "" penguin whale "" , Z by "" pear """,* + penguin whale + pear
"Rules: X Z + + | Substitutions: X by "" strawberry "" , Z by "" penguin """,strawberry penguin + +
"Rules: = X - + Y | Substitutions: X by "" whale "" , Y by "" horse strawberry """,= whale - + horse strawberry
"Rules: X * - X Y | Substitutions: X by "" horse strawberry "" , Y by "" horse banana """,horse strawberry * - horse strawberry horse banana
"Rules: X - Y Y + | Substitutions: X by "" penguin "" , Y by "" strawberry grape """,penguin - strawberry grape strawberry grape +
"Rules: X = X + Z | Substitutions: X by "" watermelon "" , Z by "" pear apple """,watermelon = watermelon + pear apple
"Rules: - Y X = + | Substitutions: X by "" banana "" , Y by "" watermelon """,- watermelon banana = +
"Rules: = - Z Y | Substitutions: Y by "" peach grape "" , Z by "" apple """,= - apple peach grape
"Rules: * Z * Y Z | Substitutions: Y by "" peach "" , Z by "" shark seal """,* shark seal * peach shark seal
"Rules: = * Y + Y Y | Substitutions: Y by "" horse """,= * horse + horse horse
"Rules: Y = Y * | Substitutions: Y by "" stork watermelon """,stork watermelon = stork watermelon *
"Rules: X Z + * * | Substitutions: X by "" eagle horse "" , Z by "" zebra cobra """,eagle horse zebra cobra + * *
"Rules: X + Z - - | Substitutions: X by "" penguin "" , Z by "" penguin cobra """,penguin + penguin cobra - -
"Rules: Y Z - * X | Substitutions: X by "" blueberry "" , Y by "" penguin "" , Z by "" whale """,penguin whale - * blueberry
"Rules: + = Y X X = | Substitutions: X by "" pear "" , Y by "" pear cobra """,+ = pear cobra pear pear =
"Rules: Z X = - | Substitutions: X by "" peach grape "" , Z by "" blueberry """,blueberry peach grape = -
"Rules: Z = X + | Substitutions: X by "" shark "" , Z by "" banana peach """,banana peach = shark +
"Rules: = = X Y = Y | Substitutions: X by "" shark "" , Y by "" eagle """,= = shark eagle = eagle
"Rules: + X + = X | Substitutions: X by "" grape """,+ grape + = grape
"Rules: - Z X - - X | Substitutions: X by "" blackberry blackberry "" , Z by "" pear banana """,- pear banana blackberry blackberry - - blackberry blackberry
"Rules: + - Y = Y | Substitutions: Y by "" apple stork """,+ - apple stork = apple stork
"Rules: - = = Z X Z | Substitutions: X by "" whale lion "" , Z by "" seal buffalo """,- = = seal buffalo whale lion seal buffalo
"Rules: Y X * - * | Substitutions: X by "" seal horse "" , Y by "" buffalo zebra """,buffalo zebra seal horse * - *
"Rules: * - Z Y X = | Substitutions: X by "" penguin peach "" , Y by "" buffalo buffalo "" , Z by "" penguin """,* - penguin buffalo buffalo penguin peach =
"Rules: Z Z = - | Substitutions: Z by "" watermelon buffalo """,watermelon buffalo watermelon buffalo = -
"Rules: = X Z X = | Substitutions: X by "" penguin cobra "" , Z by "" eagle kiwi """,= penguin cobra eagle kiwi penguin cobra =
"Rules: * - Z Z | Substitutions: Z by "" kiwi rat """,* - kiwi rat kiwi rat
"Rules: X + Z = X | Substitutions: X by "" blueberry blueberry "" , Z by "" rat penguin """,blueberry blueberry + rat penguin = blueberry blueberry
"Rules: Z - Y Y + + | Substitutions: Y by "" banana buffalo "" , Z by "" cobra strawberry """,cobra strawberry - banana buffalo banana buffalo + +
"Rules: Y Z - * | Substitutions: Y by "" grape "" , Z by "" buffalo """,grape buffalo - *
"Rules: Z = X * Z | Substitutions: X by "" eagle seal "" , Z by "" blackberry """,blackberry = eagle seal * blackberry
"Rules: * Z Y Y = | Substitutions: Y by "" zebra apple "" , Z by "" penguin stork """,* penguin stork zebra apple zebra apple =
"Rules: = * X Z - | Substitutions: X by "" whale apple "" , Z by "" watermelon kiwi """,= * whale apple watermelon kiwi -
"Rules: * = = X X | Substitutions: X by "" banana blackberry """,* = = banana blackberry banana blackberry
"Rules: = Z X X = | Substitutions: X by "" strawberry "" , Z by "" whale penguin """,= whale penguin strawberry strawberry =
"Rules: - * Z Y Y | Substitutions: Y by "" peach "" , Z by "" rat peach """,- * rat peach peach peach
"Rules: - - Z + X | Substitutions: X by "" peach "" , Z by "" eagle stork """,- - eagle stork + peach
"Rules: Z * X = Y | Substitutions: X by "" watermelon lion "" , Y by "" zebra pear "" , Z by "" banana seal """,banana seal * watermelon lion = zebra pear
"Rules: X Y Z + = = | Substitutions: X by "" blackberry peach "" , Y by "" zebra buffalo "" , Z by "" apple grape """,blackberry peach zebra buffalo apple grape + = =
"Rules: X Y + + = | Substitutions: X by "" cobra kiwi "" , Y by "" eagle """,cobra kiwi eagle + + =
"Rules: * - + X Z | Substitutions: X by "" stork pear "" , Z by "" eagle horse """,* - + stork pear eagle horse
"Rules: X = + X Z + | Substitutions: X by "" apple "" , Z by "" apple """,apple = + apple apple +
"Rules: Z = + Z = | Substitutions: Z by "" peach """,peach = + peach =
"Rules: Z X - = X | Substitutions: X by "" pear horse "" , Z by "" eagle """,eagle pear horse - = pear horse
"Rules: + Z + Y Z + | Substitutions: Y by "" peach blueberry "" , Z by "" kiwi """,+ kiwi + peach blueberry kiwi +
"Rules: - Z - + X Y | Substitutions: X by "" eagle whale "" , Y by "" zebra "" , Z by "" eagle strawberry """,- eagle strawberry - + eagle whale zebra
"Rules: - Z Z Z * | Substitutions: Z by "" seal """,- seal seal seal *
"Rules: X Y = + Z - | Substitutions: X by "" horse "" , Y by "" blueberry eagle "" , Z by "" eagle buffalo """,horse blueberry eagle = + eagle buffalo -
"Rules: Y X + - = Z | Substitutions: X by "" zebra "" , Y by "" banana "" , Z by "" banana """,banana zebra + - = banana
"Rules: Y - * Y | Substitutions: Y by "" banana strawberry """,banana strawberry - * banana strawberry
"Rules: * X X X - | Substitutions: X by "" lion """,* lion lion lion -
"Rules: = Y X + - | Substitutions: X by "" watermelon whale "" , Y by "" strawberry """,= strawberry watermelon whale + -
"Rules: = + Y Y | Substitutions: Y by "" zebra """,= + zebra zebra
"Rules: - - - X Y Z | Substitutions: X by "" strawberry shark "" , Y by "" blueberry "" , Z by "" apple """,- - - strawberry shark blueberry apple
"Rules: X X + - X + | Substitutions: X by "" lion """,lion lion + - lion +
"Rules: Y - Y = | Substitutions: Y by "" seal zebra """,seal zebra - seal zebra =
"Rules: + Y X = | Substitutions: X by "" horse stork "" , Y by "" strawberry """,+ strawberry horse stork =
"Rules: - X + Z | Substitutions: X by "" watermelon blackberry "" , Z by "" penguin peach """,- watermelon blackberry + penguin peach
"Rules: + + * Y Y | Substitutions: Y by "" stork """,+ + * stork stork
"Rules: = Y Y X = | Substitutions: X by "" watermelon "" , Y by "" peach """,= peach peach watermelon =
"Rules: - Z + Y Y | Substitutions: Y by "" kiwi "" , Z by "" blueberry """,- blueberry + kiwi kiwi
"Rules: = = X Z | Substitutions: X by "" banana strawberry "" , Z by "" stork blueberry """,= = banana strawberry stork blueberry
