source,target
"Rules: + Z = X | Substitutions: X by "" horse "" , Z by "" blueberry """,+ blueberry = horse
"Rules: Y X = = | Substitutions: X by "" seal "" , Y by "" eagle """,eagle seal = =
"Rules: Y = Z Z - + | Substitutions: Y by "" strawberry blackberry "" , Z by "" horse """,strawberry blackberry = horse horse - +
"Rules: Z X = + * | Substitutions: X by "" shark "" , Z by "" cobra horse """,cobra horse shark = + *
"Rules: Y + Z - Y - | Substitutions: Y by "" strawberry cobra "" , Z by "" rat """,strawberry cobra + rat - strawberry cobra -
"Rules: X * - Y * | Substitutions: X by "" eagle horse "" , Y by "" lion seal """,eagle horse * - lion seal *
"Rules: X Y + - Z | Substitutions: X by "" banana whale "" , Y by "" kiwi strawberry "" , Z by "" horse buffalo """,banana whale kiwi strawberry + - horse buffalo
"Rules: = X + + X | Substitutions: X by "" buffalo """,= buffalo + + buffalo
"Rules: X Z = Z = | Substitutions: X by "" eagle "" , Z by "" buffalo """,eagle buffalo = buffalo =
"Rules: * Z + - X | Substitutions: X by "" cobra "" , Z by "" penguin """,* penguin + - cobra
"Rules: X X + = | Substitutions: X by "" whale apple """,whale apple whale apple + =
"Rules: - Z + - Y | Substitutions: Y by "" horse "" , Z by "" cobra """,- cobra + - horse
"Rules: X * - + X | Substitutions: X by "" lion """,lion * - + lion
"Rules: X X = + | Substitutions: X by "" peach """,peach peach = +
"Rules: - + + X Y | Substitutions: X by "" blackberry shark "" , Y by "" penguin lion """,- + + blackberry shark penguin lion
"Rules: Y = X X - | Substitutions: X by "" zebra "" , Y by "" watermelon blackberry """,watermelon blackberry = zebra zebra -
"Rules: + X X - | Substitutions: X by "" stork watermelon """,+ stork watermelon stork watermelon -
"Rules: Z + = = Z Y | Substitutions: Y by "" strawberry "" , Z by "" horse cobra """,horse cobra + = = horse cobra strawberry
"Rules: Z - Z Z + | Substitutions: Z by "" kiwi blackberry """,kiwi blackberry - kiwi blackberry kiwi blackberry +
"Rules: - X * Y - Z | Substitutions: X by "" horse rat "" , Y by "" kiwi buffalo "" , Z by "" horse """,- horse rat * kiwi buffalo - horse
"Rules: - Z X = Z | Substitutions: X by "" lion "" , Z by "" horse """,- horse lion = horse
"Rules: * - X * Y | Substitutions: X by "" whale strawberry "" , Y by "" horse buffalo """,* - whale strawberry * horse buffalo
"Rules: X Z Y = + | Substitutions: X by "" strawberry kiwi "" , Y by "" zebra "" , Z by "" peach penguin """,strawberry kiwi peach penguin zebra = +
"Rules: Y Y + * Y | Substitutions: Y by "" grape """,grape grape + * grape
"Rules: X * Z Z - - | Substitutions: X by "" eagle pear "" , Z by "" eagle """,eagle pear * eagle eagle - -
"Rules: Y - + + X | Substitutions: X by "" whale apple "" , Y by "" seal seal """,seal seal - + + whale apple
"Rules: X Y - = | Substitutions: X by "" banana "" , Y by "" pear """,banana pear - =
"Rules: - X - X - | Substitutions: X by "" watermelon strawberry """,- watermelon strawberry - watermelon strawberry -
"Rules: + + + Y X | Substitutions: X by "" banana zebra "" , Y by "" pear seal """,+ + + pear seal banana zebra
"Rules: X Y * = | Substitutions: X by "" seal "" , Y by "" blackberry seal """,seal blackberry seal * =
"Rules: = Y Z + Z | Substitutions: Y by "" shark cobra "" , Z by "" peach """,= shark cobra peach + peach
"Rules: * Y = X Y = | Substitutions: X by "" eagle eagle "" , Y by "" kiwi """,* kiwi = eagle eagle kiwi =
"Rules: X + Y - | Substitutions: X by "" cobra "" , Y by "" eagle """,cobra + eagle -
"Rules: X * Z * = | Substitutions: X by "" apple peach "" , Z by "" eagle """,apple peach * eagle * =
"Rules: - X - + Z X | Substitutions: X by "" zebra "" , Z by "" penguin blackberry """,- zebra - + penguin blackberry zebra
"Rules: Z Y - - Y - | Substitutions: Y by "" zebra blueberry "" , Z by "" banana kiwi """,banana kiwi zebra blueberry - - zebra blueberry -
"Rules: * Y * Y - X | Substitutions: X by "" blueberry kiwi "" , Y by "" kiwi """,* kiwi * kiwi - blueberry kiwi
"Rules: X = - - X | Substitutions: X by "" lion """,lion = - - lion
"Rules: - X * Z Y = | Substitutions: X by "" seal penguin "" , Y by "" watermelon "" , Z by "" cobra """,- seal penguin * cobra watermelon =
"Rules: X = * + Y | Substitutions: X by "" shark seal "" , Y by "" seal """,shark seal = * + seal
"Rules: + Y = Y + | Substitutions: Y by "" stork """,+ stork = stork +
"Rules: Z Y * - Y | Substitutions: Y by "" kiwi pear "" , Z by "" whale stork """,whale stork kiwi pear * - kiwi pear
"Rules: + - X Y | Substitutions: X by "" horse "" , Y by "" stork blueberry """,+ - horse stork blueberry
"Rules: Y Z = = = Z | Substitutions: Y by "" seal "" , Z by "" rat seal """,seal rat seal = = = rat seal
"Rules: Y = * Z | Substitutions: Y by "" blueberry cobra "" , Z by "" blackberry apple """,blueberry cobra = * blackberry apple
"Rules: - X X + - | Substitutions: X by "" horse whale """,- horse whale horse whale + -
"Rules: * Z - Y X | Substitutions: X by "" rat "" , Y by "" kiwi "" , Z by "" peach """,* peach - kiwi rat
"Rules: + Y Y = - Y | Substitutions: Y by "" blackberry pear """,+ blackberry pear blackberry pear = - blackberry pear
"Rules: Y + X - | Substitutions: X by "" whale "" , Y by "" blackberry banana """,blackberry banana + whale -
"Rules: - = Y - Z | Substitutions: Y by "" eagle "" , Z by "" buffalo """,- = eagle - buffalo
"Rules: Z = + X | Substitutions: X by "" shark "" , Z by "" rat """,rat = + shark
"Rules: Z * Y * X * | Substitutions: X by "" strawberry grape "" , Y by "" penguin zebra "" , Z by "" pear seal """,pear seal * penguin zebra * strawberry grape *
"Rules: = X Z - Y + | Substitutions: X by "" kiwi rat "" , Y by "" shark strawberry "" , Z by "" rat """,= kiwi rat rat - shark strawberry +
"Rules: Y X + X * | Substitutions: X by "" seal "" , Y by "" kiwi banana """,kiwi banana seal + seal *
"Rules: X Y Z * = = | Substitutions: X by "" pear "" , Y by "" cobra cobra "" , Z by "" eagle """,pear cobra cobra eagle * = =
"Rules: + X - Z + X | Substitutions: X by "" pear apple "" , Z by "" horse blackberry """,+ pear apple - horse blackberry + pear apple
"Rules: X - Z X * + | Substitutions: X by "" grape "" , Z by "" whale rat """,grape - whale rat grape * +
"Rules: - Z Z Z + - | Substitutions: Z by "" kiwi """,- kiwi kiwi kiwi + -
"Rules: Z - * X | Substitutions: X by "" whale "" , Z by "" blackberry pear """,blackberry pear - * whale
"Rules: - = Y - Z | Substitutions: Y by "" buffalo "" , Z by "" apple """,- = buffalo - apple
"Rules: X Y * Z = | Substitutions: X by "" pear zebra "" , Y by "" blueberry blackberry "" , Z by "" watermelon peach """,pear zebra blueberry blackberry * watermelon peach =
"Rules: Y + * = Y Y | Substitutions: Y by "" lion peach """,lion peach + * = lion peach lion peach
"Rules: - X * Z Z | Substitutions: X by "" rat penguin "" , Z by "" grape penguin """,- rat penguin * grape penguin grape penguin
"Rules: * = - X X X | Substitutions: X by "" banana """,* = - banana banana banana
"Rules: * X = X | Substitutions: X by "" watermelon buffalo """,* watermelon buffalo = watermelon buffalo
"Rules: * X Z * + | Substitutions: X by "" cobra banana "" , Z by "" whale """,* cobra banana whale * +
"Rules: + X Z * | Substitutions: X by "" apple "" , Z by "" blackberry seal """,+ apple blackberry seal *
"Rules: + X Z X * - | Substitutions: X by "" peach "" , Z by "" watermelon cobra """,+ peach watermelon cobra peach * -
"Rules: * Y * * Z X | Substitutions: X by "" horse "" , Y by "" peach blackberry "" , Z by "" eagle """,* peach blackberry * * eagle horse
"Rules: Z - + Z - | Substitutions: Z by "" watermelon """,watermelon - + watermelon -
"Rules: Y = Y - Z | Substitutions: Y by "" eagle kiwi "" , Z by "" blueberry """,eagle kiwi = eagle kiwi - blueberry
"Rules: X * + = Y | Substitutions: X by "" grape banana "" , Y by "" grape watermelon """,grape banana * + = grape watermelon
"Rules: - X = X | Substitutions: X by "" horse """,- horse = horse
"Rules: Y X X + + + | Substitutions: X by "" kiwi "" , Y by "" grape kiwi """,grape kiwi kiwi kiwi + + +
"Rules: Y = + Z Z - | Substitutions: Y by "" grape watermelon "" , Z by "" pear blackberry """,grape watermelon = + pear blackberry pear blackberry -
"Rules: - + Z X | Substitutions: X by "" penguin "" , Z by "" strawberry """,- + strawberry penguin
"Rules: + * Z Y Z | Substitutions: Y by "" horse "" , Z by "" pear shark """,+ * pear shark horse pear shark
"Rules: * Y - X + | Substitutions: X by "" zebra rat "" , Y by "" horse shark """,* horse shark - zebra rat +
"Rules: Z - = * X | Substitutions: X by "" apple grape "" , Z by "" stork """,stork - = * apple grape
"Rules: Z - X = - | Substitutions: X by "" horse zebra "" , Z by "" banana horse """,banana horse - horse zebra = -
"Rules: * X = Y | Substitutions: X by "" horse grape "" , Y by "" kiwi """,* horse grape = kiwi
"Rules: * * Z = Y X | Substitutions: X by "" apple rat "" , Y by "" blueberry "" , Z by "" blueberry """,* * blueberry = blueberry apple rat
"Rules: Y X + = * | Substitutions: X by "" stork eagle "" , Y by "" eagle """,eagle stork eagle + = *
"Rules: Z + * Z X | Substitutions: X by "" penguin grape "" , Z by "" kiwi zebra """,kiwi zebra + * kiwi zebra penguin grape
"Rules: * * X Z | Substitutions: X by "" stork lion "" , Z by "" horse seal """,* * stork lion horse seal
"Rules: - X + Y | Substitutions: X by "" peach "" , Y by "" banana zebra """,- peach + banana zebra
"Rules: + Y + Z | Substitutions: Y by "" banana "" , Z by "" banana """,+ banana + banana
"Rules: * Z X - | Substitutions: X by "" pear apple "" , Z by "" apple zebra """,* apple zebra pear apple -
"Rules: - X Z Y * | Substitutions: X by "" shark "" , Y by "" whale "" , Z by "" strawberry """,- shark strawberry whale *
"Rules: Y Y Z = + | Substitutions: Y by "" kiwi "" , Z by "" strawberry eagle """,kiwi kiwi strawberry eagle = +
"Rules: * Z = X = Y | Substitutions: X by "" seal apple "" , Y by "" buffalo banana "" , Z by "" blueberry """,* blueberry = seal apple = buffalo banana
"Rules: Y + + X X | Substitutions: X by "" seal eagle "" , Y by "" lion """,lion + + seal eagle seal eagle
"Rules: Y = = = Z | Substitutions: Y by "" zebra "" , Z by "" apple """,zebra = = = apple
"Rules: = X Z + Z | Substitutions: X by "" blackberry cobra "" , Z by "" strawberry """,= blackberry cobra strawberry + strawberry
"Rules: + = Z X * | Substitutions: X by "" seal "" , Z by "" grape """,+ = grape seal *
"Rules: + Y X * | Substitutions: X by "" zebra pear "" , Y by "" whale stork """,+ whale stork zebra pear *
"Rules: + Z - X X | Substitutions: X by "" lion "" , Z by "" buffalo """,+ buffalo - lion lion
"Rules: Y = = Y | Substitutions: Y by "" apple whale """,apple whale = = apple whale
"Rules: - + Z Z | Substitutions: Z by "" kiwi buffalo """,- + kiwi buffalo kiwi buffalo
"Rules: X Y + - * | Substitutions: X by "" apple blackberry "" , Y by "" apple banana """,apple blackberry apple banana + - *
"Rules: - X = Y | Substitutions: X by "" kiwi blueberry "" , Y by "" blackberry """,- kiwi blueberry = blackberry
"Rules: Z X + X * | Substitutions: X by "" lion "" , Z by "" pear """,pear lion + lion *
"Rules: X - * X + | Substitutions: X by "" zebra """,zebra - * zebra +
"Rules: X Z * * * | Substitutions: X by "" buffalo "" , Z by "" horse horse """,buffalo horse horse * * *
"Rules: Z = Z * X | Substitutions: X by "" banana "" , Z by "" zebra strawberry """,zebra strawberry = zebra strawberry * banana
"Rules: * Z = Z = Y | Substitutions: Y by "" seal "" , Z by "" apple """,* apple = apple = seal
"Rules: Z + Y - + | Substitutions: Y by "" zebra "" , Z by "" blackberry banana """,blackberry banana + zebra - +
"Rules: Z * X * | Substitutions: X by "" whale "" , Z by "" cobra """,cobra * whale *
"Rules: Y = * Y X | Substitutions: X by "" rat cobra "" , Y by "" zebra penguin """,zebra penguin = * zebra penguin rat cobra
"Rules: - Z + Y | Substitutions: Y by "" kiwi "" , Z by "" kiwi strawberry """,- kiwi strawberry + kiwi
"Rules: X = - X Z | Substitutions: X by "" blackberry "" , Z by "" blackberry """,blackberry = - blackberry blackberry
"Rules: Z - Y * | Substitutions: Y by "" cobra lion "" , Z by "" penguin rat """,penguin rat - cobra lion *
"Rules: Y + + + Z | Substitutions: Y by "" zebra penguin "" , Z by "" stork strawberry """,zebra penguin + + + stork strawberry
"Rules: + = Z X * | Substitutions: X by "" rat "" , Z by "" shark """,+ = shark rat *
"Rules: Y = Z + | Substitutions: Y by "" cobra zebra "" , Z by "" horse """,cobra zebra = horse +
"Rules: Y Z - + * | Substitutions: Y by "" penguin banana "" , Z by "" strawberry kiwi """,penguin banana strawberry kiwi - + *
"Rules: + - Z X | Substitutions: X by "" seal stork "" , Z by "" apple stork """,+ - apple stork seal stork
"Rules: Y = + Y Z | Substitutions: Y by "" watermelon "" , Z by "" whale pear """,watermelon = + watermelon whale pear
"Rules: X * * X | Substitutions: X by "" rat lion """,rat lion * * rat lion
"Rules: - Z Y = X | Substitutions: X by "" grape "" , Y by "" watermelon peach "" , Z by "" kiwi """,- kiwi watermelon peach = grape
"Rules: * = Z * Z X | Substitutions: X by "" banana grape "" , Z by "" stork """,* = stork * stork banana grape
"Rules: + = Y X * | Substitutions: X by "" apple "" , Y by "" rat """,+ = rat apple *
"Rules: Z Z = * * | Substitutions: Z by "" zebra """,zebra zebra = * *
"Rules: * Y Z + | Substitutions: Y by "" rat "" , Z by "" blackberry """,* rat blackberry +
"Rules: - X Z Z = + | Substitutions: X by "" watermelon lion "" , Z by "" pear """,- watermelon lion pear pear = +
"Rules: + Y + + Z | Substitutions: Y by "" peach eagle "" , Z by "" pear """,+ peach eagle + + pear
"Rules: Z * - Y Z | Substitutions: Y by "" buffalo "" , Z by "" strawberry buffalo """,strawberry buffalo * - buffalo strawberry buffalo
"Rules: + X Z - Y | Substitutions: X by "" grape "" , Y by "" seal "" , Z by "" seal """,+ grape seal - seal
"Rules: * X Y Z + | Substitutions: X by "" blueberry rat "" , Y by "" cobra "" , Z by "" seal cobra """,* blueberry rat cobra seal cobra +
"Rules: * + + Y X Y | Substitutions: X by "" cobra peach "" , Y by "" grape apple """,* + + grape apple cobra peach grape apple
"Rules: - - Z Y + Y | Substitutions: Y by "" pear peach "" , Z by "" shark strawberry """,- - shark strawberry pear peach + pear peach
"Rules: Y + + Z + | Substitutions: Y by "" watermelon lion "" , Z by "" rat buffalo """,watermelon lion + + rat buffalo +
"Rules: * Y X * | Substitutions: X by "" blackberry pear "" , Y by "" rat """,* rat blackberry pear *
"Rules: * X Y X = * | Substitutions: X by "" shark "" , Y by "" seal cobra """,* shark seal cobra shark = *
"Rules: - * Y + Z | Substitutions: Y by "" seal "" , Z by "" cobra watermelon """,- * seal + cobra watermelon
"Rules: * X = = Y X | Substitutions: X by "" banana "" , Y by "" lion horse """,* banana = = lion horse banana
"Rules: Y Y = + - | Substitutions: Y by "" penguin """,penguin penguin = + -
"Rules: - Y - Y Z + | Substitutions: Y by "" pear banana "" , Z by "" banana kiwi """,- pear banana - pear banana banana kiwi +
"Rules: - X = X | Substitutions: X by "" penguin """,- penguin = penguin
"Rules: - Y Y + | Substitutions: Y by "" penguin """,- penguin penguin +
"Rules: - + = Y Z | Substitutions: Y by "" grape shark "" , Z by "" lion watermelon """,- + = grape shark lion watermelon
"Rules: = Z - Z - | Substitutions: Z by "" cobra """,= cobra - cobra -
"Rules: - X * Z * | Substitutions: X by "" zebra "" , Z by "" kiwi whale """,- zebra * kiwi whale *
"Rules: Z Z + = | Substitutions: Z by "" horse """,horse horse + =
"Rules: X - X Z + | Substitutions: X by "" grape kiwi "" , Z by "" kiwi """,grape kiwi - grape kiwi kiwi +
"Rules: + * Z Y | Substitutions: Y by "" shark peach "" , Z by "" zebra """,+ * zebra shark peach
"Rules: Z + X = X = | Substitutions: X by "" rat "" , Z by "" eagle """,eagle + rat = rat =
"Rules: Z X + - * | Substitutions: X by "" lion "" , Z by "" watermelon blueberry """,watermelon blueberry lion + - *
"Rules: - Z - Y Y | Substitutions: Y by "" shark "" , Z by "" shark """,- shark - shark shark
"Rules: + = Y = Z Y | Substitutions: Y by "" blueberry rat "" , Z by "" rat pear """,+ = blueberry rat = rat pear blueberry rat
"Rules: - - X X - Z | Substitutions: X by "" banana eagle "" , Z by "" grape """,- - banana eagle banana eagle - grape
"Rules: - X * * Z | Substitutions: X by "" eagle apple "" , Z by "" blueberry eagle """,- eagle apple * * blueberry eagle
"Rules: = Y - Z | Substitutions: Y by "" buffalo "" , Z by "" seal blackberry """,= buffalo - seal blackberry
"Rules: * Y * * Z Z | Substitutions: Y by "" kiwi stork "" , Z by "" stork rat """,* kiwi stork * * stork rat stork rat
"Rules: X + + Y * | Substitutions: X by "" lion shark "" , Y by "" blueberry apple """,lion shark + + blueberry apple *
"Rules: X X = Y = | Substitutions: X by "" zebra "" , Y by "" banana """,zebra zebra = banana =
"Rules: Z = Y - + X | Substitutions: X by "" seal "" , Y by "" lion "" , Z by "" banana """,banana = lion - + seal
"Rules: - Y * X | Substitutions: X by "" watermelon "" , Y by "" stork kiwi """,- stork kiwi * watermelon
"Rules: Z Y = + | Substitutions: Y by "" blackberry "" , Z by "" apple rat """,apple rat blackberry = +
"Rules: * Z Z Z = | Substitutions: Z by "" banana shark """,* banana shark banana shark banana shark =
"Rules: X + X Z * - | Substitutions: X by "" lion zebra "" , Z by "" pear rat """,lion zebra + lion zebra pear rat * -
"Rules: Z = X + | Substitutions: X by "" watermelon lion "" , Z by "" penguin """,penguin = watermelon lion +
"Rules: * = Z + X | Substitutions: X by "" penguin "" , Z by "" strawberry watermelon """,* = strawberry watermelon + penguin
"Rules: X + Y - X - | Substitutions: X by "" grape "" , Y by "" pear """,grape + pear - grape -
"Rules: Z = Y + = | Substitutions: Y by "" grape blackberry "" , Z by "" peach """,peach = grape blackberry + =
"Rules: * * Z - Z | Substitutions: Z by "" strawberry apple """,* * strawberry apple - strawberry apple
"Rules: + * Y X | Substitutions: X by "" seal watermelon "" , Y by "" apple rat """,+ * apple rat seal watermelon
"Rules: + - X + Y X | Substitutions: X by "" blueberry zebra "" , Y by "" zebra """,+ - blueberry zebra + zebra blueberry zebra
"Rules: + Y * Y * | Substitutions: Y by "" grape blueberry """,+ grape blueberry * grape blueberry *
"Rules: Y + Z = | Substitutions: Y by "" kiwi "" , Z by "" strawberry """,kiwi + strawberry =
"Rules: - X Y * Z | Substitutions: X by "" blueberry blueberry "" , Y by "" buffalo watermelon "" , Z by "" stork """,- blueberry blueberry buffalo watermelon * stork
"Rules: + Y - X = | Substitutions: X by "" horse whale "" , Y by "" penguin """,+ penguin - horse whale =
"Rules: * + X Z | Substitutions: X by "" peach "" , Z by "" rat banana """,* + peach rat banana
"Rules: X = Z + | Substitutions: X by "" strawberry "" , Z by "" horse """,strawberry = horse +
"Rules: = = Z Z | Substitutions: Z by "" cobra peach """,= = cobra peach cobra peach
"Rules: - Z = Y | Substitutions: Y by "" kiwi pear "" , Z by "" seal """,- seal = kiwi pear
"Rules: X X * * | Substitutions: X by "" apple apple """,apple apple apple apple * *
"Rules: X X + - | Substitutions: X by "" eagle """,eagle eagle + -
"Rules: X = - + Z | Substitutions: X by "" zebra "" , Z by "" pear peach """,zebra = - + pear peach
"Rules: X = X + * | Substitutions: X by "" cobra buffalo """,cobra buffalo = cobra buffalo + *
"Rules: + Y Y - | Substitutions: Y by "" horse """,+ horse horse -
"Rules: Z Z Z - * | Substitutions: Z by "" seal """,seal seal seal - *
"Rules: X = Z + - X | Substitutions: X by "" peach cobra "" , Z by "" penguin strawberry """,peach cobra = penguin strawberry + - peach cobra
"Rules: Z Y * + | Substitutions: Y by "" eagle stork "" , Z by "" watermelon kiwi """,watermelon kiwi eagle stork * +
"Rules: = Y Z * | Substitutions: Y by "" grape pear "" , Z by "" strawberry """,= grape pear strawberry *
"Rules: = Z X Y * = | Substitutions: X by "" eagle whale "" , Y by "" rat "" , Z by "" eagle blackberry """,= eagle blackberry eagle whale rat * =
"Rules: = - X - X | Substitutions: X by "" apple """,= - apple - apple
"Rules: = Y - X = Z | Substitutions: X by "" buffalo zebra "" , Y by "" shark banana "" , Z by "" penguin """,= shark banana - buffalo zebra = penguin
"Rules: - X = Z X = | Substitutions: X by "" whale strawberry "" , Z by "" seal buffalo """,- whale strawberry = seal buffalo whale strawberry =
"Rules: * Z Z - - | Substitutions: Z by "" stork shark """,* stork shark stork shark - -
"Rules: Y - X - + | Substitutions: X by "" penguin "" , Y by "" blackberry banana """,blackberry banana - penguin - +
"Rules: + X Z Y + | Substitutions: X by "" blueberry "" , Y by "" buffalo "" , Z by "" blackberry """,+ blueberry blackberry buffalo +
"Rules: Z = Y Y - = | Substitutions: Y by "" blueberry eagle "" , Z by "" blueberry """,blueberry = blueberry eagle blueberry eagle - =
"Rules: Y - Z Y + | Substitutions: Y by "" kiwi "" , Z by "" peach whale """,kiwi - peach whale kiwi +
"Rules: Z X * Y * - | Substitutions: X by "" blueberry watermelon "" , Y by "" buffalo banana "" , Z by "" buffalo """,buffalo blueberry watermelon * buffalo banana * -
"Rules: - Z X = Y | Substitutions: X by "" lion kiwi "" , Y by "" apple "" , Z by "" apple """,- apple lion kiwi = apple
"Rules: + Y Y - | Substitutions: Y by "" eagle """,+ eagle eagle -
"Rules: + * Y X | Substitutions: X by "" shark pear "" , Y by "" peach """,+ * peach shark pear
"Rules: Y = * Y + Z | Substitutions: Y by "" stork apple "" , Z by "" watermelon kiwi """,stork apple = * stork apple + watermelon kiwi
"Rules: * * Y Z | Substitutions: Y by "" eagle "" , Z by "" zebra """,* * eagle zebra
"Rules: Z * Y X = * | Substitutions: X by "" peach zebra "" , Y by "" blueberry "" , Z by "" rat """,rat * blueberry peach zebra = *
"Rules: = Y = Y Z | Substitutions: Y by "" whale peach "" , Z by "" eagle whale """,= whale peach = whale peach eagle whale
"Rules: + Z X + | Substitutions: X by "" grape "" , Z by "" peach lion """,+ peach lion grape +
"Rules: Y - = Y | Substitutions: Y by "" whale whale """,whale whale - = whale whale
"Rules: - = Z X Z * | Substitutions: X by "" strawberry "" , Z by "" banana """,- = banana strawberry banana *
"Rules: Y Y - X - * | Substitutions: X by "" horse "" , Y by "" blueberry grape """,blueberry grape blueberry grape - horse - *
"Rules: Z + = Z Y | Substitutions: Y by "" zebra seal "" , Z by "" penguin blackberry """,penguin blackberry + = penguin blackberry zebra seal
"Rules: X Y * = | Substitutions: X by "" rat "" , Y by "" kiwi blueberry """,rat kiwi blueberry * =
"Rules: + Z Z + + X | Substitutions: X by "" kiwi "" , Z by "" rat """,+ rat rat + + kiwi
"Rules: X = + Y X | Substitutions: X by "" peach grape "" , Y by "" pear """,peach grape = + pear peach grape
"Rules: - Y Z - + | Substitutions: Y by "" pear "" , Z by "" penguin strawberry """,- pear penguin strawberry - +
"Rules: Z Y - * Y + | Substitutions: Y by "" strawberry "" , Z by "" apple kiwi """,apple kiwi strawberry - * strawberry +
"Rules: - = Y X X - | Substitutions: X by "" penguin "" , Y by "" cobra whale """,- = cobra whale penguin penguin -
"Rules: Z Z - = X | Substitutions: X by "" banana banana "" , Z by "" buffalo lion """,buffalo lion buffalo lion - = banana banana
"Rules: + Y X + | Substitutions: X by "" buffalo cobra "" , Y by "" rat watermelon """,+ rat watermelon buffalo cobra +
"Rules: * * + Y X | Substitutions: X by "" blackberry "" , Y by "" pear """,* * + pear blackberry
"Rules: Z X + X = * | Substitutions: X by "" stork "" , Z by "" eagle """,eagle stork + stork = *
"Rules: X Y + + | Substitutions: X by "" rat "" , Y by "" watermelon """,rat watermelon + +
"Rules: Z Y * * = Z | Substitutions: Y by "" apple "" , Z by "" zebra lion """,zebra lion apple * * = zebra lion
"Rules: - * X = X | Substitutions: X by "" kiwi banana """,- * kiwi banana = kiwi banana
"Rules: Y Y Y - - | Substitutions: Y by "" seal shark """,seal shark seal shark seal shark - -
"Rules: X - Y = - Z | Substitutions: X by "" watermelon shark "" , Y by "" grape "" , Z by "" shark cobra """,watermelon shark - grape = - shark cobra
"Rules: Y X * * Z | Substitutions: X by "" peach "" , Y by "" horse "" , Z by "" shark """,horse peach * * shark
"Rules: X + - Z X | Substitutions: X by "" pear apple "" , Z by "" seal """,pear apple + - seal pear apple
"Rules: Z Y X * = - | Substitutions: X by "" eagle "" , Y by "" watermelon "" , Z by "" penguin """,penguin watermelon eagle * = -
"Rules: * Y Z Y = | Substitutions: Y by "" stork "" , Z by "" horse """,* stork horse stork =
"Rules: + Y Y X * = | Substitutions: X by "" rat "" , Y by "" lion """,+ lion lion rat * =
"Rules: Z = Z - * | Substitutions: Z by "" blueberry """,blueberry = blueberry - *
"Rules: = - Z Y | Substitutions: Y by "" peach "" , Z by "" blueberry """,= - blueberry peach
"Rules: Z - Y Z = | Substitutions: Y by "" stork "" , Z by "" watermelon banana """,watermelon banana - stork watermelon banana =
"Rules: X Y - - = | Substitutions: X by "" peach "" , Y by "" seal """,peach seal - - =
"Rules: Y - X = Y | Substitutions: X by "" peach penguin "" , Y by "" eagle penguin """,eagle penguin - peach penguin = eagle penguin
"Rules: + Z + Y | Substitutions: Y by "" rat penguin "" , Z by "" penguin """,+ penguin + rat penguin
"Rules: + Y X - = Y | Substitutions: X by "" horse zebra "" , Y by "" eagle """,+ eagle horse zebra - = eagle
"Rules: - * - X Z | Substitutions: X by "" blackberry "" , Z by "" banana """,- * - blackberry banana
"Rules: Z Z + * Z * | Substitutions: Z by "" blueberry lion """,blueberry lion blueberry lion + * blueberry lion *
"Rules: X = Z + | Substitutions: X by "" penguin "" , Z by "" zebra blueberry """,penguin = zebra blueberry +
"Rules: - X = + Z | Substitutions: X by "" whale grape "" , Z by "" buffalo pear """,- whale grape = + buffalo pear
"Rules: Z Y Y - = | Substitutions: Y by "" watermelon whale "" , Z by "" rat """,rat watermelon whale watermelon whale - =
"Rules: Y + * * Z X | Substitutions: X by "" buffalo "" , Y by "" buffalo whale "" , Z by "" stork apple """,buffalo whale + * * stork apple buffalo
"Rules: X Y - + | Substitutions: X by "" eagle "" , Y by "" stork """,eagle stork - +
"Rules: X - * X Y + | Substitutions: X by "" grape "" , Y by "" buffalo banana """,grape - * grape buffalo banana +
"Rules: + * Y Y Y | Substitutions: Y by "" blueberry blueberry """,+ * blueberry blueberry blueberry blueberry blueberry blueberry
"Rules: + + X Y Z | Substitutions: X by "" blackberry "" , Y by "" strawberry "" , Z by "" blackberry blackberry """,+ + blackberry strawberry blackberry blackberry
"Rules: = + Y - X | Substitutions: X by "" eagle blueberry "" , Y by "" grape """,= + grape - eagle blueberry
"Rules: X - * Y | Substitutions: X by "" banana "" , Y by "" shark whale """,banana - * shark whale
"Rules: + - Z Z | Substitutions: Z by "" eagle """,+ - eagle eagle
"Rules: Z Y Z - + | Substitutions: Y by "" strawberry watermelon "" , Z by "" apple """,apple strawberry watermelon apple - +
"Rules: Z + = Z Y | Substitutions: Y by "" rat grape "" , Z by "" peach """,peach + = peach rat grape
"Rules: = + Z Z X | Substitutions: X by "" horse "" , Z by "" eagle banana """,= + eagle banana eagle banana horse
"Rules: * + Z - Z | Substitutions: Z by "" cobra shark """,* + cobra shark - cobra shark
"Rules: Y * Y + + | Substitutions: Y by "" seal """,seal * seal + +
"Rules: Z Z * X * = | Substitutions: X by "" shark "" , Z by "" blackberry """,blackberry blackberry * shark * =
"Rules: - - - Z Z | Substitutions: Z by "" strawberry eagle """,- - - strawberry eagle strawberry eagle
"Rules: * = Z Y + | Substitutions: Y by "" rat "" , Z by "" zebra penguin """,* = zebra penguin rat +
"Rules: Y = = X | Substitutions: X by "" watermelon grape "" , Y by "" eagle stork """,eagle stork = = watermelon grape
"Rules: X = - X - | Substitutions: X by "" apple eagle """,apple eagle = - apple eagle -
"Rules: * Y - Y X | Substitutions: X by "" horse apple "" , Y by "" seal penguin """,* seal penguin - seal penguin horse apple
