source,target
Rules: - + Y X Z | - Z + Y X | Z + Y X - | Y Z X + - | Result: - + kiwi shark grape grape whale,- + Y X Z
Rules: + Y - | Y + - | Y + - Y | + - Y | Result: whale + - whale,Y + - Y
Rules: X X X = - | - X = | - = X | - X = | Result: pear horse pear horse pear horse = -,X X X = -
Rules: * + = Z | * = Z + | + Z Z * Z = | Z + = * | Result: + strawberry strawberry * strawberry =,+ Z Z * Z =
Rules: * + = X | * = + X | + X = * X | = X + * | Result: + apple = * apple,+ X = * X
Rules: Y Z = - | - Z = Y | = - Y Z | Z Y = - Z | Result: banana watermelon cobra = - banana watermelon,Z Y = - Z
Rules: Z + + Y X | + + Y X Z | + Y Z + X | Y Z + + X | Result: blackberry blackberry watermelon + + cobra whale,Y Z + + X
Rules: X - Z Y = * | Y Z X * - = | Z = * Y - X | Z Y = - * X | Result: seal penguin = * buffalo kiwi - lion seal,Z = * Y - X
Rules: + Z Y + X | Y + X + Z | X + + Z Y | + Y + X Z | Result: blackberry grape + rat pear + watermelon zebra,Y + X + Z
Rules: = - X Y | Y - X = | X Y = - | Y = - X | Result: penguin seal apple = -,X Y = -
Rules: = * Z - | = Z Z * - | = Z * - | Z - * = | Result: = banana banana * -,= Z Z * -
Rules: + - Y Z | Z - + Y | Z - Y + | Z - + Y | Result: shark - + watermelon eagle,Z - + Y
Rules: * + Z = Y | * = + Y Z | = + Z Y * | = Z * + Y | Result: = + eagle rat buffalo *,= + Z Y *
Rules: * + - Y | + * Y - | Y Y - * + | Y + - * | Result: apple buffalo apple buffalo - * +,Y Y - * +
Rules: - + Y Z | + - Z Y | + Z - Y | + Z Y Y - | Result: + blueberry zebra strawberry grape strawberry grape -,+ Z Y Y -
Rules: Z + * * | + * Z Z Z * | Z * * + | Z * + * | Result: + * grape blackberry grape blackberry grape blackberry *,+ * Z Z Z *
Rules: Z = - | = Z Z Z - | - = Z | Z - = | Result: = banana banana banana -,= Z Z Z -
Rules: X + - Y = X | = + X - Y | X Y = - + | - Y X = + | Result: watermelon + - blueberry kiwi = watermelon,X + - Y = X
Rules: - = * X Y | - * Y X = Y | X Y - * = | - = Y * X | Result: - * stork shark peach = stork shark,- * Y X = Y
Rules: Y * * X | X * Y * | * * X Y | Y X * * | Result: cobra penguin stork * *,Y X * *
Rules: * Z X + | * + Z X | + X * Z | Z X + * | Result: * + eagle pear rat strawberry,* + Z X
Rules: * Z * Y | Y Z * Z * | Y Z * * | Y * Z * | Result: penguin penguin apple cobra * apple cobra *,Y Z * Z *
Rules: = Z Z = + | = Z + = | Z + = = | Z = + = | Result: = peach peach = +,= Z Z = +
Rules: = = Z Y - Y | Z = - = Y | = Y = - Z | = = Y Z - | Result: = = rat pear blackberry - blackberry,= = Z Y - Y
Rules: Z = Y * | Y * Z = Z | Z * = Y | Z Y = * | Result: peach kiwi * watermelon peach = watermelon peach,Y * Z = Z
Rules: - X = Y | Y = X - | - X = Y | = X - Y | Result: pear strawberry = apple kiwi -,Y = X -
Rules: * Y X * | * X Y * | Y * * X | Y * * X | Result: * seal blueberry banana *,* X Y *
Rules: Z * = Z Y + | * + Y Z = | Z = + Y * | Y = Z * + | Result: blueberry lion * = blueberry lion blueberry blueberry +,Z * = Z Y +
Rules: * * X Y | Y * * X | Y X * * | X * Y * | Result: peach * * pear apple,Y * * X
Rules: X X + * X * | X * + * | X * + * | * + X * | Result: cobra whale cobra whale + * cobra whale *,X X + * X *
Rules: + X = + | X + = + | X X + + = | + + = X | Result: lion penguin lion penguin + + =,X X + + =
Rules: X - Y Y + | Y - + X | - Y X + | - X Y + | Result: horse peach - watermelon peach watermelon peach +,X - Y Y +
Rules: Z Y - = | = Z Y - | Y Z - Z = | - = Y Z | Result: watermelon shark shark cobra - shark cobra =,Y Z - Z =
Rules: * X + * X Z | + * Z * X | * X * + Z | Z + X * * | Result: * shark + * shark strawberry,* X + * X Z
Rules: X Z * = X | * = Z X | Z * X = | = X Z * | Result: strawberry buffalo whale * = strawberry,X Z * = X
Rules: Y Y Y * = - | = * - Y | Y * = - | - Y * = | Result: penguin penguin penguin penguin penguin penguin * = -,Y Y Y * = -
Rules: + - Y Z | - + Z Y | - Y Z + | Z + Y - Z | Result: penguin penguin + peach peach - penguin penguin,Z + Y - Z
Rules: X Z * + = | X Z * = + | + Z * X = | = Z X + * | Result: + horse strawberry * pear apple =,+ Z * X =
Rules: = + Y = | + = = Y | Y + = Y = Y | = + = Y | Result: peach + = peach = peach,Y + = Y = Y
Rules: - * X - X | - X * - | * X - - | - - * X | Result: - * rat - rat,- * X - X
Rules: - - Z | - Z - | - Z - Z | - - Z | Result: - blueberry eagle - blueberry eagle,- Z - Z
Rules: - + - X Y | Y + X - - | + X - Y - | + Y - - X X | Result: + banana lion - - rat pear rat pear,+ Y - - X X
Rules: Z Y - = Y | Y Z - = | - = Z Y | = Y Z - | Result: blueberry pear seal - = seal,Z Y - = Y
Rules: X Y Y + * | Y + * X | * Y X + | + * X Y | Result: kiwi cobra peach peach + *,X Y Y + *
Rules: = + Y Z = Z | Y Z = + = | = + Z = Y | Z + = Y = | Result: = + pear kiwi peach = peach,= + Y Z = Z
Rules: X Z * = = Y | * Y Z = X = | * Z X = Y = | Y * = = Z X | Result: * banana rat apple = cobra pear =,* Z X = Y =
Rules: = Z - | = Z - | Z = - | Z - Z = | Result: kiwi pear - kiwi pear =,Z - Z =
Rules: + * Y - Z X | * - + Z Y X | + - X * Y Z | + X - Y * Z | Result: + - strawberry stork * whale buffalo blueberry lion,+ - X * Y Z
Rules: X = + Z | = X + Z | X = Z + | = + X X Z | Result: = + cobra penguin cobra penguin kiwi apple,= + X X Z
Rules: Y X * + | + * X Y | X * Y + | * + Y X | Result: peach strawberry * peach penguin +,X * Y +
Rules: X Z * = | = X Z * | X Z = * | = X Z * | Result: shark buffalo * =,X Z * =
Rules: Y X + - Z | Z + X Y - | Z + X Y - | - + Y X Z | Result: grape stork + kiwi penguin -,Z + X Y -
Rules: = = Y * Z | Y * = = Z | Z = = Y * | = * Z Y Z = | Result: = * zebra rat zebra =,= * Z Y Z =
Rules: X = - Z | = X Z Z - | X Z = - | X - Z = | Result: = kiwi blueberry blueberry blueberry blueberry -,= X Z Z -
Rules: * Z * + X | X Z + * * | * Z Z + X * | * * X Z + | Result: * cobra cobra + blueberry whale *,* Z Z + X *
Rules: - Y * X Z | Z Y - X * | * Y X Z - | Y Z - X * | Result: eagle zebra banana - eagle kiwi *,Z Y - X *
Rules: - Y - + | - Y + - | Y - - + | Y - Y - + | Result: lion strawberry - lion strawberry - +,Y - Y - +
Rules: + Y - X Z + | Z + + X Y - | X - Y Z + + | + Y Z - X + | Result: + strawberry horse - blueberry watermelon kiwi +,+ Y - X Z +
Rules: - - - Z | - Z - - | Z - - - | - - Z - Z | Result: - - blackberry - blackberry,- - Z - Z
Rules: Y + - | + - Y | - + Y | Y + Y - Y | Result: shark whale + shark whale - shark whale,Y + Y - Y
Rules: - Y X - | Y X - - | Y - X - | - X X Y - | Result: - banana blackberry banana blackberry rat -,- X X Y -
Rules: - X - * | X X - * - | - - * X | - * - X | Result: apple whale apple whale - * -,X X - * -
Rules: * Z = | Z = Z * | Z * = | = * Z | Result: stork lion = stork lion *,Z = Z *
Rules: Z X - - - | Z - - - X | X - - Z - | Z - - - X | Result: buffalo buffalo - - - grape,Z - - - X
Rules: - Y = Z | Z Y = Z - | - Y = Z | Y - Z = | Result: stork apple = stork -,Z Y = Z -
Rules: Y + - Z + | Y + - + Z | + + - Z Y | + Y Z + - | Result: + seal grape + -,+ Y Z + -
Rules: = = Z | Z = = Z | = Z = | = = Z | Result: kiwi = = kiwi,Z = = Z
Rules: - + X | - X + | X - + | - X + X | Result: - stork + stork,- X + X
Rules: - X = - X | X - - = | X - - = | - = X - | Result: - banana = - banana,- X = - X
Rules: Y - + X | X Y - + | - X + Y | Y X + - | Result: watermelon buffalo - + whale,Y - + X
Rules: = - X = X | - X = = | X - = = | = X - = | Result: = - rat strawberry = rat strawberry,= - X = X
Rules: Y Z = X + | X + = Z Y | Z = + X Y | X + Y Z = | Result: cobra + blueberry eagle apple =,X + Y Z =
Rules: * + Z X Y | + * Z Y X | X Y + Z * | * Y X + Z | Result: lion peach zebra + apple *,X Y + Z *
Rules: X = = = | = X = = | = X = = X | = = X = | Result: = zebra = = zebra,= X = = X
Rules: * Z X = | Z = Z X * | * Z X = | = X Z * | Result: strawberry = strawberry buffalo seal *,Z = Z X *
Rules: - Z * X | * - X Z | - Z * X | X * Z - | Result: strawberry * seal -,X * Z -
Rules: = Z * - | = * Z - | = Z - Z * | - Z * = | Result: = blueberry kiwi - blueberry kiwi *,= Z - Z *
Rules: X = = | = X = | X X = = | = X = | Result: peach blackberry peach blackberry = =,X X = =
Rules: X * * * Y | Y * * X * | * * Y * X | * * X Y * | Result: apple * * penguin *,Y * * X *
Rules: = Z * + Y | Z Y + = * | + = Y Z * Z | Y + Z = * | Result: + = banana shark penguin * penguin,+ = Y Z * Z
Rules: * Y Z - = | - Y * Z = | - * = Y Z | = Y - Z * | Result: = watermelon watermelon - peach *,= Y - Z *
Rules: Z * - | - Z Z Z * | * Z - | - * Z | Result: - whale blueberry whale blueberry whale blueberry *,- Z Z Z *
Rules: = Y Z * | Z = Y * | Y Z * = | * Z = Y | Result: apple = cobra *,Z = Y *
Rules: * - Y Z - | Y * - - Z | * Y - - Z | * - Z - Y | Result: * zebra penguin - - buffalo peach,* Y - - Z
Rules: = Y + X + | + = Y X + | + = + Y X | + X Y + = | Result: = penguin kiwi + buffalo +,= Y + X +
Rules: Z + Z - X + | - + Z + X | - + Z + X | - Z + X + | Result: peach + peach - grape pear +,Z + Z - X +
Rules: Z X - - | Z - - X | - X Z - | X Z - X - | Result: rat shark shark rat - rat shark -,X Z - X -
Rules: * Y * | Y * * | Y * * | * Y * Y | Result: * penguin kiwi * penguin kiwi,* Y * Y
Rules: - X - | - X - | X - - X | - - X | Result: rat stork - - rat stork,X - - X
Rules: Y * = * Z | * = Z * Y | * Z = Y * | * Z Y = * | Result: * apple kiwi = pear *,* Z = Y *
Rules: + X + | + X + | + X + | + X X + X | Result: + cobra seal cobra seal + cobra seal,+ X X + X
Rules: Z + X = | Z + = X | X Z + = | Z X + = Z | Result: eagle whale + = eagle,Z X + = Z
Rules: X = Y + | X Y + = X | + = Y X | X + Y = | Result: rat watermelon horse + = rat,X Y + = X
Rules: * Y Z * | Z Y * * | Z * * Y | * Z Y * | Result: cobra * * strawberry whale,Z * * Y
Rules: * * Y - Z | * * - Y Z | Y * - * Z | * Z * - Y | Result: kiwi peach * - * buffalo buffalo,Y * - * Z
Rules: Z * = Y = X | Y = Z * X = | * = Y = X Z | Y = = Z X * | Result: horse lion = zebra cobra * whale =,Y = Z * X =
Rules: Y Z + * X | X * + Z Y | Z Y + X * | * X + Z Y | Result: watermelon stork seal grape + * cobra blueberry,Y Z + * X
Rules: Y + * + | * + Y Y + | + * Y + | + * Y + | Result: * + rat shark rat shark +,* + Y Y +
Rules: - Z = Y * | = * Z Y - | = Y * - Z | - Z Y * = | Result: - banana shark = buffalo apple *,- Z = Y *
Rules: * + Y X Y = | = Y X + * | + = * X Y | Y = X + * | Result: * + strawberry cobra blackberry shark strawberry cobra =,* + Y X Y =
Rules: - = Z Z | Z = - | - Z = | - = Z | Result: - = blueberry seal blueberry seal,- = Z Z
Rules: * Z + X = | * Z = + X | Z X + = * | * + Z = X | Result: * buffalo whale + apple blackberry =,* Z + X =
Rules: X - - Z | X - Z - | Z X - - | - Z - X | Result: seal zebra - seal -,X - Z -
Rules: Y * Z - | Y - * Z Z | * Z - Y | Y Z * - | Result: shark - * lion lion,Y - * Z Z
Rules: X Z + - | X + - Z | X - + Z | + Z X - | Result: stork buffalo eagle strawberry + -,X Z + -
Rules: Z - X + | Z + X - | X - Z + | X Z - + | Result: lion buffalo lion - +,X Z - +
Rules: - Z X - | - X - Z | - Z - X | - X - Z | Result: - blueberry pear -,- Z X -
Rules: + = X Z - | X - + Z = | + = - Z X | + X = Z - | Result: + whale cobra = watermelon -,+ X = Z -
Rules: + Y - Z | - Z Y + | + Z - Y Y | + - Y Z | Result: + horse shark - stork strawberry stork strawberry,+ Z - Y Y
Rules: + Y Z - | Y + - Z | Z Y - + | Z + Y - | Result: blueberry + - stork,Y + - Z
Rules: * - Z Y | * Z Y - | Z * - Y | Y * - Z | Result: stork * - kiwi zebra,Z * - Y
Rules: * X = Z Y | Z * = Y X | Y = Z * X | Y * Z X = | Result: * whale = blackberry penguin,* X = Z Y
Rules: X = Z + Y | + = Y Z X | Z = + Y X | + X = Z Y | Result: + = blueberry whale apple shark,+ = Y Z X
Rules: Y Z - + X - | X + Z - - Y | - Z + - Y X | Y + - Z X - | Result: - blackberry + - pear penguin seal,- Z + - Y X
Rules: + X + | X + + | + + X | + + X X | Result: + + blackberry peach blackberry peach,+ + X X
Rules: X Y + - * | - * X + Y | - X + Y * | X * Y + - | Result: - * strawberry + horse,- * X + Y
Rules: + * Y * Y | * * + Y | Y * * + | + * Y * | Result: + * eagle eagle * eagle eagle,+ * Y * Y
Rules: Z - = Y | - Y Z = | Z - Y = | - Z Y = | Result: - shark blueberry whale blackberry =,- Y Z =
Rules: = X * = Y | = X Y = * | Y = X * = | Y = * X = | Result: = kiwi blueberry zebra = *,= X Y = *
Rules: Y * + Z = | = + * Y Z | Z = * Y + | + Y * Z = | Result: + kiwi * horse =,+ Y * Z =
Rules: X * = | X = * | X = * X X | * = X | Result: blueberry = * blueberry blueberry,X = * X X
Rules: + * Z = Y | = Z + * Y | = + Z * Y | = Z * + Y | Result: + * penguin strawberry = zebra,+ * Z = Y
Rules: Z X - - | - X Z - | Z X - - | - X Z - | Result: shark pear pear - -,Z X - -
Rules: + Y + X | Y X + + | + Y + X | X Y + X + | Result: lion zebra shark zebra + lion zebra +,X Y + X +
Rules: + Y + * Y X | + X Y + * | + X * + Y | + Y + X * | Result: + cobra penguin + * cobra penguin shark kiwi,+ Y + * Y X
Rules: * Y * + Z | Y * + * Z | Y Z Y * * + | Y * * + Z | Result: kiwi seal blackberry kiwi seal * * +,Y Z Y * * +
Rules: - * Y Y = | Y - * = | - * Y = | Y = * - | Result: - * blueberry blueberry =,- * Y Y =
Rules: X * - Y | - X Y * | X Y * - | - * Y X | Result: blueberry * - buffalo,X * - Y
Rules: Z - X = | X Z = - | = X Z - | Z = - X | Result: watermelon seal penguin = -,X Z = -
Rules: - = = X Y | X = - Y = | = X = - Y | Y = = X - | Result: - = = apple strawberry whale,- = = X Y
Rules: X = Z - | Z X = - | Z - = X | - Z = X | Result: shark grape = lion -,X = Z -
Rules: = = X | = X X = | = = X | X = = | Result: = shark shark =,= X X =
Rules: = Y * | * = Y | * Y = | = Y Y Y * | Result: = lion lion lion *,= Y Y Y *
Rules: - - = Z | = - Z - | = Z - Z - Z | Z = - - | Result: = blackberry zebra - blackberry zebra - blackberry zebra,= Z - Z - Z
Rules: X + + Y | + Y X + | Y + + X | Y + + X | Result: penguin horse + + horse apple,Y + + X
Rules: = Y = | = Y = | = = Y | Y = Y = | Result: blueberry zebra = blueberry zebra =,Y = Y =
Rules: + Y = Z * | Y * = Z + | = + Z Y * | Y + * Z = | Result: + grape = eagle *,+ Y = Z *
Rules: Z - * | Z * - | Z - * | * - Z Z | Result: * - blackberry blackberry,* - Z Z
Rules: = X = Z Y | = X Y = Z | X = Y = Z | = Z X = Y | Result: = banana eagle = zebra eagle,= X Y = Z
Rules: + + Y Z X | X + + Y Z | Y X Z + + | Y + X Z + | Result: stork stork kiwi grape + +,Y X Z + +
Rules: - + Y X | X + Y - | Y X + - X | Y + - X | Result: watermelon penguin zebra + - penguin zebra,Y X + - X
Rules: + X = | + X = | X X + = | + = X | Result: zebra buffalo zebra buffalo + =,X X + =
Rules: X - Y - + | - - Y X + | - X Y + - | X + - Y - | Result: blueberry - penguin blueberry - +,X - Y - +
Rules: + Z X + * | X + * Z + | X Z + * + | Z + * X + | Result: zebra grape apple + * +,X Z + * +
Rules: Z X - Y - | Y - - X Z | - X - Z Y | - Y - X Z | Result: - strawberry lion - peach blackberry rat apple,- Y - X Z
Rules: Z = X - | = X Z - | - Z X = | X Z = - | Result: - grape watermelon =,- Z X =
Rules: Y X * = | * Y = X | = * Y X | X Y X = * | Result: blueberry peach blueberry = *,X Y X = *
Rules: = Y * | Y * = Y Y | = * Y | * = Y | Result: eagle * = eagle eagle,Y * = Y Y
Rules: = Z * Y | = * Z Y | Y = * Z | * Y Z Y = | Result: * peach eagle peach =,* Y Z Y =
Rules: Z * Y * * | * Y * Z * | * Z Y Z * * | Y * * Z * | Result: * cobra peach cobra * *,* Z Y Z * *
Rules: X = Y + | = Y X + | Y X = + | + = X Y | Result: + = rat pear,+ = X Y
Rules: + Z * Y - | Z Y - + * | * + Y Z - | + - Z * Y | Result: * + blueberry whale shark kiwi -,* + Y Z -
Rules: X * - Z | * - X Z | X * - Z | X Z * - | Result: blackberry * - whale,X * - Z
Rules: Y = X - | Y X - = | - = X Y | = Y X - | Result: = kiwi stork seal buffalo -,= Y X -
Rules: X = * * | X X X * * = | * X = * | X * = * | Result: eagle eagle eagle * * =,X X X * * =
Rules: + X + Y X | + X + Y | Y + X + | + + Y X | Result: + zebra penguin + horse zebra penguin,+ X + Y X
Rules: Z - = * Y | Z Z * Y = - | Y - = * Z | Z * Y = - | Result: banana apple banana apple * seal = -,Z Z * Y = -
Rules: * Z = Y = | = * = Y Z | * Z = Y = | Y * = Z Y = | Result: watermelon peach * = peach stork watermelon peach =,Y * = Z Y =
Rules: + * - Y | - Y * + Y | - * Y + | + - * Y | Result: - lion * + lion,- Y * + Y
Rules: * = - X Y | X - * = Y | - X = * X Y | * X - Y = | Result: - watermelon = * watermelon buffalo,- X = * X Y
Rules: X * = - Z | * X = - Z | - * Z X = | Z - = X * X | Result: watermelon stork - = banana grape * banana grape,Z - = X * X
Rules: - - X | - - X | - X - | X X - - X | Result: horse apple horse apple - - horse apple,X X - - X
Rules: + Y - + X | X Y - X + + | Y + + - X | - + Y X + | Result: lion watermelon peach - lion + +,X Y - X + +
Rules: Z * Y - | Y * Z - | Z Y - * | * Y - Z | Result: peach blackberry horse - *,Z Y - *
Rules: - Y - + X | + X - - Y | Y X - + - | X + - Y - | Result: kiwi strawberry stork eagle - + -,Y X - + -
Rules: X Y Y = + * | X Y * = + | X * = + Y | = * Y + X | Result: buffalo whale whale whale whale = + *,X Y Y = + *
Rules: Z * * Y | Z Z * Y * | * Z Y * | * * Z Y | Result: stork stork * kiwi seal *,Z Z * Y *
Rules: X * X * Y + | * Y * + X | X * Y + * | * * Y + X | Result: peach * peach * seal whale +,X * X * Y +
Rules: = + + X | X = X + X + | + = + X | + + X = | Result: apple = apple + apple +,X = X + X +
Rules: = Z - X | = X - Z | Z - X = | - X = Z | Result: = eagle grape - pear,= Z - X
Rules: = X Z - Y | Z Y X = - | X Z = Y - | - = X Y Z | Result: = cobra apple grape watermelon - blueberry,= X Z - Y
Rules: = X Z * - | Z * = X - | = X - * Z | X = - * Z X | Result: grape = - * cobra grape,X = - * Z X
Rules: = Z = + | = Z Z Z = + | = Z + = | + = Z = | Result: = kiwi kiwi kiwi = +,= Z Z Z = +
Rules: X - X = + Z | X = - Z + | = X Z + - | = - + X Z | Result: blueberry shark - blueberry shark = + seal pear,X - X = + Z
Rules: Z = X + Y | Y X Z + = | Z X = Y + | Z Y = X + | Result: stork blackberry seal = whale +,Z Y = X +
Rules: Y = Z Z = | = Y Z = | = Z = Y | = = Y Z | Result: stork = peach peach =,Y = Z Z =
Rules: X X = = X | X = = | = = X | X = = | Result: whale banana whale banana = = whale banana,X X = = X
Rules: Z * Y - | Y Z * - | Z Y * - | * Z Z Y - | Result: * penguin penguin buffalo -,* Z Z Y -
Rules: X * - Y - | * - - X Y | Y X - Y * - | X * Y - - | Result: blueberry cobra apple - blueberry cobra * -,Y X - Y * -
Rules: - + X * | X * X X - + | - * + X | - X + * | Result: blueberry * blueberry blueberry - +,X * X X - +
Rules: - Z * X | X - Z * | - * X Z | * - Z X | Result: * - blackberry kiwi zebra,* - Z X
Rules: X Y = = | Y = X = | = X Y = | X = Y = | Result: = banana pear pear =,= X Y =
Rules: - = Y | - Y = | Y = Y - Y | = Y - | Result: lion = lion - lion,Y = Y - Y
Rules: - + X Z * | Z + - * X | - X + Z * | * Z - + X | Result: * zebra - + pear,* Z - + X
Rules: - X = * X | * - X = | X - = * | X = - * | Result: - penguin blackberry = * penguin blackberry,- X = * X
Rules: - Z * - X | - Z X - * | * - - X Z | X - Z Z - * | Result: lion - watermelon horse watermelon horse - *,X - Z Z - *
Rules: * Z Y * | * Y Z * | * Z Y * | Z Y * * | Result: * eagle eagle penguin *,* Z Y *
Rules: * Y X - | * - Y Y X | X - Y * | * X - Y | Result: * - apple shark apple shark pear buffalo,* - Y Y X
Rules: Z X * * | Z X * * | * * X Z | X * Z * | Result: lion zebra horse * *,Z X * *
Rules: * Y X - X | X * - Y | * - X Y | * Y - X | Result: * apple blackberry grape blueberry - grape blueberry,* Y X - X
Rules: Y = - | Y - = | - = Y | Y Y = - | Result: cobra horse cobra horse = -,Y Y = -
Rules: Z Y - * - | * Y - - Z | * - - Y Y Z | * - - Z Y | Result: * - - zebra pear zebra pear buffalo watermelon,* - - Y Y Z
Rules: * Y X Z - | - Z Y X * | Z Y - X * | Z * X Y - | Result: kiwi peach * stork stork eagle blackberry -,Z * X Y -
Rules: Y Z + = | Y = Z + | Z = Y Y + | = Y Z + | Result: blueberry = peach peach +,Z = Y Y +
Rules: + Y = - Z | = - + Z Y | Z + Y = - | - Z + Y = | Result: - peach stork + cobra =,- Z + Y =
Rules: = * Y Z | = * Z Y | Z Y = * | * Z = Y | Result: = * pear watermelon banana,= * Z Y
Rules: + Z Z * Z | Z + * | + * Z | * Z + | Result: + apple shark apple shark * apple shark,+ Z Z * Z
Rules: X * - | * - X | * - X | - X X * | Result: - pear rat pear rat *,- X X *
Rules: Y + = X | X + Y = | = X Y + | = Y X X + | Result: = kiwi watermelon horse horse +,= Y X X +
Rules: X Y Z + - | - Z + X Y | X + Y Z - | Y X Z - + | Result: lion + grape blueberry blueberry -,X + Y Z -
Rules: Y * X + - Z | + Z - Y X * | * Z X + - Y | - * Z X + Y | Result: * cobra kiwi apple + - shark,* Z X + - Y
Rules: = + Z Y | Y = + Z | = + Z Y | Y Z = + | Result: = + penguin watermelon rat zebra,= + Z Y
Rules: + * Y Z Y | * Y + Z | * Z Y + | Z + Y * | Result: + * cobra buffalo buffalo cobra buffalo,+ * Y Z Y
Rules: * * Y * X | X Y * * * | Y * * X * Y | * * X * Y | Result: kiwi * * apple rat * kiwi,Y * * X * Y
Rules: * X * Y | * Y X * | X * Y X * | * Y * X | Result: peach * stork peach *,X * Y X *
Rules: X - + Y | + Y - X | X + Y Y - | Y + - X | Result: seal + stork watermelon stork watermelon -,X + Y Y -
Rules: + Y Z - | - + Z Y | - Z Y + | + Z Y - | Result: - + buffalo whale kiwi pear,- + Z Y
Rules: * Z X = - | Z * = X - | = X * Z - | Z = * - X | Result: lion apple = * - eagle rat,Z = * - X
Rules: - Y = | - = Y | Y = - | - Y Y = | Result: - eagle eagle =,- Y Y =
Rules: Z - - Y | Y Z - - | Z - - Y | Y Z - - | Result: banana - - cobra zebra,Z - - Y
Rules: Y + X = - | X = + Y - | - X + X = Y | - = X + Y | Result: - banana lion + banana lion = penguin stork,- X + X = Y
Rules: Y - = X | X - Y = | - Y X = | = - Y X | Result: pear - eagle pear =,X - Y =
Rules: Z * Z - X | Z * - X | * Z X - | X Z * - | Result: buffalo strawberry * buffalo strawberry - apple blueberry,Z * Z - X
Rules: Z = Y * Z | = Y Z * | Z * = Y | Y = * Z | Result: watermelon grape = apple apple * watermelon grape,Z = Y * Z
Rules: - Z - Y | Y - Z - Z | - Y - Z | Y - Z - | Result: grape - grape - grape,Y - Z - Z
Rules: Y + * | Y * + | + * Y | + Y * Y | Result: + blackberry apple * blackberry apple,+ Y * Y
Rules: Y - + X Z | Z + X - Y | Y X - + Z | + X Y Z - | Result: + rat pear whale strawberry lion -,+ X Y Z -
Rules: Y X + + X * | X + * + Y | Y X + * + | Y + * + X | Result: strawberry pear seal grape + + seal grape *,Y X + + X *
Rules: * Y = X = | Y = = X * | = * X = Y | = = * Y X | Result: = = * blueberry pear kiwi,= = * Y X
Rules: = Y = * Z | = Y Z * = Z | = Z = * Y | Z Y = * = | Result: = peach blueberry penguin buffalo * = penguin buffalo,= Y Z * = Z
Rules: Y = - | Y = - | - Y = | Y Y - = | Result: pear pear - =,Y Y - =
Rules: = Z * Y * | * Y = * Z | * Y = Z * | Z = * * Y | Result: * rat blueberry = * pear,* Y = * Z
Rules: X - Z - = | - X - Z = | - - = Z X | Z = - - X | Result: - strawberry - seal =,- X - Z =
Rules: = Z * X | Z * X = | Z Z X * = | X * Z = | Result: zebra zebra rat * =,Z Z X * =
Rules: = X + Z | + Z X = | + Z X = | Z + X = | Result: eagle + shark blackberry =,Z + X =
Rules: X Y = * | * = X Y | = X * Y | * X = Y Y | Result: * horse banana = horse horse,* X = Y Y
Rules: Y = Z Z + | Y = Z + | + Z = Y | = Y Z + | Result: watermelon = rat rat +,Y = Z Z +
Rules: * X + Z | Z + X X * | * + Z X | * Z X + | Result: eagle lion + pear stork pear stork *,Z + X X *
Rules: Z + X + | + Z + X | X + Z + | X + + Z | Result: shark whale + + peach,X + + Z
Rules: X * + Z | X Z X * + | X * + Z | + X Z * | Result: buffalo pear grape buffalo * +,X Z X * +
Rules: + * = X Y | Y X * = X + | Y = * + X | + * Y = X | Result: blackberry horse stork apple * = stork apple +,Y X * = X +
Rules: - X * - Z | X * - Z - | * Z - - X | X * - Z - | Result: - peach lion * - stork penguin,- X * - Z
Rules: Y = * Y * X | * X Y * = | * Y = * X | * = * X Y | Result: lion = * lion * banana penguin,Y = * Y * X
Rules: - X - Y | Y - X - Y | - Y X - | - Y - X | Result: watermelon - eagle horse - watermelon,Y - X - Y
Rules: * * - Z | Z * - * Z | * - * Z | Z * - * | Result: strawberry strawberry * - * strawberry strawberry,Z * - * Z
Rules: = X Y - Z | X - Y = Z | - X Y = Z | X = Z Y - | Result: = grape lion - watermelon apple,= X Y - Z
Rules: Y * + - X | + X - Y * | + * - X Y | * X - + Y | Result: + * - apple shark banana horse,+ * - X Y
Rules: X + = - Z | X = + Z - | = Z X - + X | X = + Z - | Result: = eagle zebra horse - + horse,= Z X - + X
Rules: X * * Y - | * Y - * X | X - * * Y | Y - * X * | Result: * shark zebra - * seal lion,* Y - * X
Rules: + * Y Z * | Y Z * + * | Z * Y + * | + * * Z Y | Result: strawberry * shark whale + *,Z * Y + *
Rules: - + X - | + X - - | - + X - | X X - X - + | Result: pear watermelon pear watermelon - pear watermelon - +,X X - X - +
Rules: + Y X * | * X Y + X | X * + Y | Y X * + | Result: * strawberry shark pear + strawberry,* X Y + X
Rules: = X - + Y | + = - X Y | Y = + X - | + - Y = X | Result: = pear - + zebra,= X - + Y
Rules: = Z + Y | = + Z Y | Z + Y = | Y = Z + | Result: zebra + shark lion =,Z + Y =
Rules: Y Z X = = | = X Y = Z | = Z Y X = | X = = Y Z | Result: grape penguin strawberry blackberry banana blueberry = =,Y Z X = =
Rules: Y Z X - + | - X Z Y + | X Y Z - + | Y + X Z - | Result: watermelon horse pear kiwi blueberry - +,X Y Z - +
Rules: X * Z * = Y | Z * = X * Y | X Y * = Z * | Z Y = * * X | Result: strawberry * = buffalo * whale,Z * = X * Y
Rules: Y Y Y = + | Y = + | = + Y | Y = + | Result: zebra horse zebra horse zebra horse = +,Y Y Y = +
